SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
702,I,AM,3035,Canyon Park Park & Ride Station,Saturday,0,1.535,13.200,0.000,0.000,1.535
702,I,AM,3033,220th St SE NB Station,Saturday,1,0.442,3.800,0.000,0.000,1.977
702,I,AM,3032,208th St SE NB Station,Saturday,2,1.186,10.200,0.279,2.400,2.884
702,I,AM,3031,196th St SE NB Station,Saturday,3,0.512,4.400,0.163,1.400,3.233
702,I,AM,3030,180th St SE NB Station,Saturday,4,0.628,5.400,0.535,4.600,3.326
702,I,AM,3029,164th St SE NB Station,Saturday,5,0.674,5.800,0.488,4.200,3.512
702,I,AM,3028,153rd St SE NB Station,Saturday,6,0.167,1.400,0.286,2.400,3.405
702,I,AM,3027,Trillium Blvd NB Station,Saturday,7,0.275,2.200,0.150,1.200,3.550
702,I,AM,3026,16th Ave SE NB Station,Saturday,8,1.263,9.600,0.447,3.400,4.184
702,I,AM,3025,Dumas Rd NB Station,Saturday,9,0.368,2.800,0.158,1.200,4.395
702,I,AM,3024,3rd Ave SE NB Station,Saturday,10,0.632,4.800,0.158,1.200,4.868
702,I,AM,3023,4th Ave W NB Station,Saturday,11,2.895,22.000,1.184,9.000,6.579
702,I,AM,3022,Gibson Rd NB Station,Saturday,12,0.763,5.800,0.395,3.000,6.947
702,I,AM,3021,Hwy 99 NB Station,Saturday,13,0.947,7.200,5.553,42.200,2.342
702,I,AM,3020,112th St SW NB Station,Saturday,14,0.000,0.000,0.368,2.800,1.974
702,I,AM,3019,100th St SW NB Station,Saturday,15,0.026,0.200,0.211,1.600,1.789
702,I,AM,3018,Kasch Park Rd NB Station,Saturday,16,0.000,0.000,0.447,3.400,1.342
702,I,AM,3017,Seaway Transit Center Station,Saturday,17,0.000,0.000,1.455,9.600,0.000
702,I,MID,3017,Seaway Transit Center Station,Saturday,17,0.022,0.400,1.418,25.800,0.000
702,I,MID,3027,Trillium Blvd NB Station,Saturday,7,0.300,5.400,0.200,3.600,5.511
702,I,MID,3026,16th Ave SE NB Station,Saturday,8,2.281,40.600,0.978,17.400,6.663
702,I,MID,3025,Dumas Rd NB Station,Saturday,9,0.636,11.200,0.295,5.200,7.011
702,I,MID,3024,3rd Ave SE NB Station,Saturday,10,0.670,11.800,0.261,4.600,7.420
702,I,MID,3023,4th Ave W NB Station,Saturday,11,2.920,51.400,2.045,36.000,8.295
702,I,MID,3022,Gibson Rd NB Station,Saturday,12,0.750,13.200,0.750,13.200,8.295
