SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,I,XEV,3225,Hwy 99 EB Station,Sunday,1,2.750,24.750,0.583,5.250,4.750
703,I,XNT,3029,164th St SE NB Station,Sunday,9,0.333,1.000,1.000,3.000,1.833
703,I,XNT,3028,153rd St SE NB Station,Sunday,10,0.000,0.000,0.250,0.750,1.583
703,I,XNT,3027,Trillium Blvd NB Station,Sunday,11,0.000,0.000,0.250,0.750,1.333
703,I,XNT,3224,McCollum Park Park & Ride Bay 4,Sunday,12,0.000,0.000,1.333,4.000,0.000
703,I,XNT,3227,Lynnwood City Center Station Bay D5,Sunday,2,4.375,8.750,1.000,2.000,7.125
703,I,XNT,3228,188th St SW EB Station,Sunday,3,0.875,1.750,0.625,1.250,7.375
703,I,XNT,3229,180th Pl SW EB Station,Sunday,4,0.125,0.250,1.250,2.500,6.250
703,I,XNT,3231,Swamp Creek Park & Ride EB Station,Sunday,5,0.500,1.000,2.750,5.500,4.000
703,I,XNT,3239,Ash Way Park & Ride Bay 5,Sunday,6,1.000,2.000,1.000,2.000,4.000
703,I,XNT,3233,Larch Way EB Station,Sunday,7,0.273,0.750,1.000,2.750,3.182
703,I,XNT,3234,North Rd EB Station,Sunday,8,0.000,0.000,0.727,2.000,2.455
703,I,XNT,3222,Edmonds College Transit Center Bay 5,Sunday,0,2.250,2.250,0.000,0.000,2.250
703,I,XNT,3225,Hwy 99 EB Station,Sunday,1,2.250,2.250,0.250,0.250,4.250
703,O,AM,3224,McCollum Park Park & Ride Bay 4,Sunday,0,1.450,14.500,0.000,0.000,1.450
703,O,AM,3046,Trillium Blvd SB Station,Sunday,1,0.325,3.250,0.025,0.250,1.750
703,O,AM,3047,153rd St SE SB Station,Sunday,2,0.600,6.000,0.075,0.750,2.275
703,O,AM,3236,Mill Creek Blvd WB Station,Sunday,3,0.667,6.500,0.231,2.250,2.744
703,O,AM,3237,North Rd WB Station,Sunday,4,0.667,6.000,0.028,0.250,3.333
703,O,AM,3238,Larch Way WB Station,Sunday,5,0.861,7.750,0.167,1.500,4.028
703,O,AM,3239,Ash Way Park & Ride Bay 5,Sunday,6,0.917,8.250,0.250,2.250,4.694
703,O,AM,3240,Swamp Creek Park & Ride WB Station,Sunday,7,0.972,8.750,0.278,2.500,5.389
703,O,AM,3242,180th Pl SW WB Station,Sunday,8,0.056,0.500,0.111,1.000,5.333
703,O,AM,3243,188th St SW WB Station,Sunday,9,0.306,2.750,0.278,2.500,5.361
703,O,AM,3244,Lynnwood City Center Station Bay C5,Sunday,10,0.941,8.000,3.235,27.500,3.029
703,O,AM,3246,Hwy 99 WB Station,Sunday,11,0.031,0.250,1.438,11.500,1.531
703,O,AM,3222,Edmonds College Transit Center Bay 5,Sunday,12,0.000,0.000,1.531,12.250,0.000
