SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,31150,3,AM,33,L,I,W Government Way,36th Ave W,FS,S,SEA,8,805,0.9,6.8,0,0,1.5
241,156,31150,3,MID,33,L,I,W Government Way,36th Ave W,FS,S,SEA,12,1293,0.7,8,0.1,0.6,1.9
241,156,31150,3,PM,33,L,I,W Government Way,36th Ave W,FS,S,SEA,8,848,0.8,6.1,0,0,2.7
241,156,31150,3,XEV,33,L,I,W Government Way,36th Ave W,FS,S,SEA,1,108,0.6,0.6,0.1,0.1,2.2
241,156,31150,42,XEV,33,L,O,W Government Way,36th Ave W,FS,N,SEA,5,455,0,0.2,0,0,1.6
241,156,20720,26,AM,33,L,I,W Galer St,Thorndyke Ave W,FS,S,SEA,8,807,0.2,1.2,0,0,18.5
241,156,31547,2,AM,33,L,I,Texas Way,W Government Way,NS,S,SEA,8,803,0.2,1.2,0,0,0.7
241,156,20720,26,MID,33,L,I,W Galer St,Thorndyke Ave W,FS,S,SEA,12,1293,0.1,1,0,0.1,9.2
241,156,31547,2,MID,33,L,I,Texas Way,W Government Way,NS,S,SEA,12,1293,0,0.2,0,0,1.3
241,156,20720,26,PM,33,L,I,W Galer St,Thorndyke Ave W,FS,S,SEA,8,854,0.1,0.9,0,0,9.5
241,156,31547,2,PM,33,L,I,Texas Way,W Government Way,NS,S,SEA,8,846,0.1,0.4,0,0,1.9
241,156,20720,26,XEV,33,L,I,W Galer St,Thorndyke Ave W,FS,S,SEA,5,528,0,0.2,0,0,4.2
241,156,490,40,XNT,33,L,I,3rd Ave,Cherry St,NS,S,SEA,1,102,0,0,0.6,0.6,0.9
241,156,31547,2,XEV,33,L,I,Texas Way,W Government Way,NS,S,SEA,1,108,0,0,0,0,1.7
241,156,31410,26,AM,33,L,O,22nd Ave W,W Armour St,FS,N,SEA,6,587,0,0,0.2,1.4,3.6
241,156,31547,41,XEV,33,L,O,Texas Way,W Government Way,NS,N,SEA,5,455,0,0.1,0,0,1.6
241,156,31410,26,MID,33,L,O,22nd Ave W,W Armour St,FS,N,SEA,12,1283,0,0.1,0.1,1.5,4.6
241,156,31410,26,PM,33,L,O,22nd Ave W,W Armour St,FS,N,SEA,9,960,0,0,0.6,5.7,9.6
241,156,31410,26,XEV,33,L,O,22nd Ave W,W Armour St,FS,N,SEA,4,381,0,0,0.3,1,4.8
241,156,24370,5,AM,33,L,I,W Government Way,32nd Ave W,NS,S,SEA,8,807,0.8,6.4,0.1,0.5,2.8
241,156,24370,5,MID,33,L,I,W Government Way,32nd Ave W,NS,S,SEA,12,1294,0.4,4.6,0,0.2,2.6
241,156,24370,5,PM,33,L,I,W Government Way,32nd Ave W,NS,S,SEA,8,854,0.4,3.1,0,0.1,3.4
241,156,13890,29,AM,33,L,I,Elliott Ave W,W Prospect St,NS,S,SEA,8,807,0.2,1.9,0.6,4.8,18.6
241,156,24370,5,XEV,33,L,I,W Government Way,32nd Ave W,NS,S,SEA,5,528,0.3,1.5,0,0,2.5
241,156,420,37,XEV,33,L,I,3rd Ave,Virginia St,NS,S,SEA,1,104,0.3,0.3,0.8,0.8,3.3
241,156,13890,29,MID,33,L,I,Elliott Ave W,W Prospect St,NS,S,SEA,12,1294,0.6,7.4,0.2,2.7,10.7
241,156,13890,29,PM,33,L,I,Elliott Ave W,W Prospect St,NS,S,SEA,8,854,1.2,9.7,0.1,1,12
241,156,13890,29,XEV,33,L,I,Elliott Ave W,W Prospect St,NS,S,SEA,5,528,0.4,2.1,0,0.2,4.9
241,156,31350,20,AM,33,L,O,Thorndyke Ave W,W Blaine St,FS,N,SEA,6,584,0,0,0.1,0.5,3.9
241,156,31350,20,MID,33,L,O,Thorndyke Ave W,W Blaine St,FS,N,SEA,12,1276,0,0.1,0.2,2.3,5.4
