SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
201,144,9135,1,AM,70,L,I,University Way NE,NE 52nd St,FS,S,SEA,22,638,0.9,20.3,0,0,0.9
201,144,35800,2,AM,70,L,I,15th Ave NE,NE 50th St,FS,S,SEA,22,686,0.9,20.5,0,0.3,1.8
201,144,35820,3,AM,70,L,I,15th Ave NE,NE 45th St,NS,S,SEA,22,686,0.6,13.2,0,0,2.4
201,144,10912,5,AM,70,L,I,15th Ave NE,NE 43rd St,FS,S,SEA,22,688,0.9,19.1,0.1,1.1,3.2
201,144,10914,6,AM,70,L,I,15th Ave NE,NE Campus Pkwy,NS,S,SEA,22,687,0.4,9.7,0,1,3.6
201,144,9138,7,AM,70,L,I,NE Campus Pkwy,12th Ave NE,NS,S,SEA,22,687,1.5,32.4,0.1,1.3,5
201,144,9140,8,AM,70,L,I,Univ Brdg Ramp,NE 40th St,NS,S,SEA,22,688,1.4,31.6,0,0.7,6.4
201,144,9141,9,AM,70,L,I,Eastlake Ave E,Harvard Ave E,NS,S,SEA,21,649,0.3,5.3,0,0.3,6.7
201,144,9150,10,AM,70,L,I,Eastlake Ave E,E Allison St,FS,S,SEA,21,649,0.1,1.5,0,0.3,6.7
201,144,9170,11,AM,70,L,I,Eastlake Ave E,E Hamlin St,NS,S,SEA,21,649,0.4,9.4,0.1,1.3,7.1
201,144,9190,12,AM,70,L,I,Eastlake Ave E,E Louisa St,FS,S,SEA,21,649,0.2,3.6,0.1,2.4,7.2
201,144,9200,13,AM,70,L,I,Eastlake Ave E,E Lynn St,FS,S,SEA,21,648,0.5,9.5,0.6,12.5,7.1
201,144,9220,14,AM,70,L,I,Eastlake Ave E,E Newton St,FS,S,SEA,21,648,0.2,4.9,0.1,3.1,7.1
201,144,9240,15,AM,70,L,I,Eastlake Ave E,E Garfield St,FS,S,SEA,21,648,0.3,5.8,0.2,5.2,7.2
201,144,9271,16,AM,70,L,I,Eastlake Ave E,Aloha St,NS,S,SEA,20,639,0.2,3.5,0.9,18.9,6.6
201,144,10190,17,AM,70,L,I,Fairview Ave N,Aloha St,FS,S,SEA,20,639,0.1,2.5,0.2,4.5,6.5
201,144,10210,18,AM,70,L,I,Fairview Ave N,Mercer St,NM,S,SEA,20,639,0.8,16.7,0.6,11.4,6.8
201,144,10225,19,AM,70,L,I,Fairview Ave N,Thomas St,FS,S,SEA,19,589,0.3,5.1,0.5,9.1,6.6
201,144,10240,20,AM,70,L,I,Boren Ave,Virginia St,FS,S,SEA,19,588,0.2,2.9,0.4,7.6,6.4
201,144,940,21,AM,70,L,I,Stewart St,9th Ave,NS,S,SEA,19,588,0.9,16.5,0.7,13.1,6.6
201,144,950,22,AM,70,L,I,Stewart St,7th Ave,NS,S,SEA,18,580,0.1,2.3,0.4,7.5,6.4
201,144,430,23,AM,70,L,I,3rd Ave,Pine St,NS,S,SEA,18,581,0.2,4.2,2.4,43.9,4.2
201,144,450,24,AM,70,L,I,3rd Ave,Union St,FS,S,SEA,18,581,0.2,3.2,0.9,15.4,3.5
201,144,480,25,AM,70,L,I,3rd Ave,Marion St,NS,S,SEA,18,580,0.1,1.5,1,18.3,2.6
201,144,500,26,AM,70,L,I,3rd Ave,James St,NS,S,SEA,17,532,0.1,0.9,1.2,20.1,1.5
201,144,515,27,AM,70,L,I,3rd Ave S,S Main St,NS,S,SEA,17,532,0.7,12.4,2.2,36.7,0
201,144,1471,28,AM,70,L,I,S Jackson St,5th Ave S,NS,S,SEA,2,49,0.6,1.1,0.8,1.6,0
201,144,1530,4,AM,70,L,O,S Jackson St,5th Ave S,FS,N,SEA,13,417,2.6,33.8,0.1,1.2,2.5
201,144,1610,5,AM,70,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,24,798,1.7,41.3,0.1,2.7,2.9
201,144,538,6,AM,70,L,O,3rd Ave,Columbia St,NS,N,SEA,24,817,1.7,40.8,0.2,5.4,4.4
201,144,558,7,AM,70,L,O,3rd Ave,Seneca St,NS,N,SEA,24,818,1.4,32.4,0.2,4.5,5.5
201,144,575,8,AM,70,L,O,3rd Ave,Pike St,NS,N,SEA,24,819,3.1,74.4,0.5,12.7,8.1
201,144,880,9,AM,70,L,O,Virginia St,6th Ave,NS,N,SEA,24,813,0.4,10.5,0.5,12.9,8
201,144,900,10,AM,70,L,O,Virginia St,9th Ave,FS,N,SEA,23,765,0.7,16.6,1.8,42.5,6.8
201,144,10280,11,AM,70,L,O,Fairview Ave,Denny Way,NS,N,SEA,23,767,0.3,7.8,0.8,17.7,6.6
201,144,10305,12,AM,70,L,O,Fairview Ave N,Harrison St,FS,N,SEA,23,772,0.4,9.4,1.3,29.5,5.7
201,144,10325,13,AM,70,L,O,Fairview Ave N,Valley St,FS,N,SEA,23,774,0.2,5,0.7,16.7,5.2
201,144,9422,14,AM,70,L,O,Eastlake Ave E,E Nelson Pl,NS,N,SEA,23,774,0,0.5,0.4,9.7,4.8
201,144,9460,15,AM,70,L,O,Eastlake Ave E,E Garfield St,FS,N,SEA,23,773,0.2,3.6,0.6,14.7,4.3
201,144,9480,16,AM,70,L,O,Eastlake Ave E,E Howe St,FS,N,SEA,23,772,0.1,2.4,0,0.4,4.4
201,144,9500,17,AM,70,L,O,Eastlake Ave E,E Lynn St,FS,N,SEA,23,774,0.3,6.2,1.2,28.4,3.4
201,144,9510,18,AM,70,L,O,Eastlake Ave E,E Louisa St,FS,N,SEA,22,730,0.1,1.9,0.1,3.2,3.4
201,144,9530,19,AM,70,L,O,Eastlake Ave E,E Hamlin St,FS,N,SEA,22,730,0.2,4.6,0.1,1.5,3.5
201,144,9550,20,AM,70,L,O,Eastlake Ave E,E Allison St,FS,N,SEA,22,730,0,0.5,0,0,3.5
201,144,9560,21,AM,70,L,O,Eastlake Ave E,Harvard Ave E,NS,N,SEA,23,744,0.1,1.9,0.1,1.3,3.5
