DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2024,October,North,Lynnwood City Center,1 Line,3597,67062,140,
2024,October,North,Mountlake Terrace,1 Line,1922,18916,141,
2024,October,North,Shoreline North/185th,1 Line,1196,13068,142,
2024,October,North,Shoreline South/148th,1 Line,2250,13795,143,
2024,October,North,Northgate,1 Line,7501,46849,145,
2024,October,North,Roosevelt,1 Line,7609,39078,146,
2024,October,North,U District,1 Line,28287,60569,147,
2024,October,North,University of Washington,1 Line,27203,42554,148,
2024,October,North,Capitol Hill,1 Line,53775,52536,149,
2024,October,North,Westlake/Seattle,1 Line,71046,47086,150,
2024,October,North,Symphony,1 Line,26374,22050,151,
2024,October,North,Pioneer Square,1 Line,17608,12145,152,
2024,October,North,International District/Chinatown,1 Line,36126,16083,153,
2024,October,North,Stadium,1 Line,5680,4829,154,
2024,October,North,SODO,1 Line,12176,5747,155,
2024,October,North,Beacon Hill,1 Line,18443,9706,156,
2024,October,North,Mount Baker,1 Line,15261,8071,157,
2024,October,North,Columbia City,1 Line,14516,4560,158,
2024,October,North,Othello,1 Line,16238,5509,160,
2024,October,North,Rainier Beach,1 Line,10439,3918,161,
2024,October,North,Tukwila International Blvd,1 Line,24727,8206,163,
2024,October,North,SeaTac/Airport,1 Line,72348,6816,164,
2024,October,North,Angle Lake,1 Line,34985,420,165,
2024,October,South,Lynnwood City Center,1 Line,20829,299,140,
2024,October,South,Mountlake Terrace,1 Line,5800,505,141,
2024,October,South,Shoreline North/185th,1 Line,4447,435,142,
2024,October,South,Shoreline South/148th,1 Line,4561,595,143,
2024,October,South,Northgate,1 Line,14648,1999,145,
2024,October,South,Roosevelt,1 Line,14640,3178,146,
2024,October,South,U District,1 Line,18595,9682,147,
2024,October,South,University of Washington,1 Line,12861,10270,148,
2024,October,South,Capitol Hill,1 Line,14509,18422,149,
2024,October,South,Westlake/Seattle,1 Line,13663,20339,150,
2024,October,South,Symphony,1 Line,6343,10269,151,
2024,October,South,Pioneer Square,1 Line,3941,7140,152,
2024,October,South,International District/Chinatown,1 Line,5915,10894,153,
2024,October,South,Stadium,1 Line,2202,3386,154,
2024,October,South,SODO,1 Line,1932,4168,155,
2024,October,South,Beacon Hill,1 Line,2609,5899,156,
2024,October,South,Mount Baker,1 Line,2402,4346,157,
2024,October,South,Columbia City,1 Line,1753,4780,158,
2024,October,South,Othello,1 Line,2039,5260,160,
2024,October,South,Rainier Beach,1 Line,1461,4665,161,
2024,October,South,Tukwila International Blvd,1 Line,2729,9397,163,
2024,October,South,SeaTac/Airport,1 Line,2772,21444,164,
