SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,I,PM,3382,Shoreline North/185th Station Bay 1,Saturday,0,5.560,83.400,0.000,0.000,5.560
701,I,XEV,2807,Madison St NB Station,Saturday,13,0.760,7.600,1.660,16.600,9.360
701,I,XEV,2815,50th St NB Station,Saturday,14,1.120,11.200,1.660,16.600,8.820
701,I,XEV,2819,40th St NB Station,Saturday,15,0.400,4.000,1.620,16.200,7.860
701,I,XEV,2835,Colby Ave NB Station,Saturday,16,0.280,2.800,3.140,31.400,5.080
701,I,XEV,2838,Everett Station Bay G1,Saturday,17,0.000,0.000,4.980,49.800,0.000
701,I,XEV,2783,112th St SW NB Station,Saturday,10,1.360,13.600,1.400,14.000,13.200
701,I,XEV,2787,4th Ave W NB Station,Saturday,11,1.020,10.200,1.920,19.200,12.120
701,I,XEV,2795,Casino Rd NB Station,Saturday,12,2.180,21.800,4.100,41.000,10.200
701,I,XEV,2753,Gateway NB Station at 216th St SW,Saturday,3,1.520,15.200,1.360,13.600,9.320
701,I,XEV,2761,Heron NB Station at 200th St SW,Saturday,4,0.540,5.400,0.580,5.800,9.300
701,I,XEV,3247,196th St SW NB Station,Saturday,5,5.120,51.200,1.320,13.200,13.180
701,I,XEV,2767,Cherry Hill NB Station at 176th St SW,Saturday,6,2.422,21.800,1.689,15.200,15.222
701,I,XEV,2777,148th St SW NB Station,Saturday,7,1.822,16.400,2.333,21.000,14.711
701,I,XEV,2779,Lincoln Way NB Station,Saturday,8,1.340,13.400,1.560,15.600,13.240
701,I,XEV,2781,Airport Road NB Station,Saturday,9,3.940,39.400,5.180,51.800,12.640
701,I,XEV,3382,Shoreline North/185th Station Bay 1,Saturday,0,4.356,39.200,0.000,0.000,4.356
701,I,XEV,3313,Aurora Village Transit Center Bay 12,Saturday,1,5.533,49.800,0.756,6.800,9.133
701,I,XEV,2747,238th St SW NB Station,Saturday,2,1.711,15.400,0.822,7.400,10.022
