SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,5910,31,XNT,5,L,I,Phinney Ave N,N 59th St,FS,S,SEA,5,358,0,0,0,0.2,4.8
241,156,6565,29,AM,5,L,O,Greenwood Ave N,N 68th St,FS,N,SEA,12,1247,0.2,1.8,0.4,4.5,6.8
241,156,6565,29,MID,5,L,O,Greenwood Ave N,N 68th St,FS,N,SEA,24,2537,0.2,5.1,0.4,10.1,10.8
241,156,6565,29,PM,5,L,O,Greenwood Ave N,N 68th St,FS,N,SEA,16,1681,0.4,6.1,1.1,17,23.3
241,156,6565,29,XEV,5,L,O,Greenwood Ave N,N 68th St,FS,N,SEA,9,783,0.3,2.3,0.4,3.5,12.8
241,156,6565,29,XNT,5,L,O,Greenwood Ave N,N 68th St,FS,N,SEA,7,567,0.1,0.6,0.3,2.1,8.2
241,156,5550,6,AM,5,L,I,Greenwood Ave N,N 145th St,FS,S,SEA,14,1458,0.6,8.5,0,0.1,3
241,156,5550,6,MID,5,L,I,Greenwood Ave N,N 145th St,FS,S,SEA,24,2488,0.5,12.2,0.1,2.2,4.4
241,156,5550,6,PM,5,L,I,Greenwood Ave N,N 145th St,FS,S,SEA,16,1653,0.5,7.9,0.1,1.3,4.1
241,156,5550,6,XEV,5,L,I,Greenwood Ave N,N 145th St,FS,S,SEA,9,745,0.2,2.2,0.1,0.7,2.2
241,156,6237,10,AM,5,L,O,7th Ave N,Harrison St,NS,N,SEA,13,1350,0.3,4.1,1.3,16.8,8.8
241,156,5550,6,XNT,5,L,I,Greenwood Ave N,N 145th St,FS,S,SEA,5,357,0.3,1.6,0,0.1,0.8
241,156,6237,10,MID,5,L,O,7th Ave N,Harrison St,NS,N,SEA,24,2533,1.6,38.9,0.7,16.4,15.4
241,156,6237,10,PM,5,L,O,7th Ave N,Harrison St,NS,N,SEA,16,1682,5.7,91.6,0.7,11.3,35.8
241,156,5860,27,AM,5,L,I,Greenwood Ave N,N 70th St,FS,S,SEA,14,1455,1.2,16.4,0.2,3.2,23.1
241,156,5860,27,MID,5,L,I,Greenwood Ave N,N 70th St,FS,S,SEA,24,2492,0.7,17.6,0.3,8.2,15.2
241,156,6237,10,XEV,5,L,O,7th Ave N,Harrison St,NS,N,SEA,9,780,2.5,22.2,0.5,4.6,17.8
241,156,5860,27,PM,5,L,I,Greenwood Ave N,N 70th St,FS,S,SEA,16,1653,0.8,12.4,0.5,7.6,14
241,156,5730,17,AM,5,L,I,Greenwood Ave N,N 100th St,FS,S,SEA,14,1454,0.8,11,0,0.6,13.4
241,156,5860,27,XEV,5,L,I,Greenwood Ave N,N 70th St,FS,S,SEA,9,753,0.4,3.3,0.3,2.4,8.3
241,156,5730,17,MID,5,L,I,Greenwood Ave N,N 100th St,FS,S,SEA,24,2485,0.4,9.6,0.1,1.7,11.4
241,156,6237,10,XNT,5,L,O,7th Ave N,Harrison St,NS,N,SEA,6,463,1.7,10,0.4,2.4,11.9
241,156,5860,27,XNT,5,L,I,Greenwood Ave N,N 70th St,FS,S,SEA,5,357,0.3,1.3,0.1,0.6,4.5
241,156,5730,17,PM,5,L,I,Greenwood Ave N,N 100th St,FS,S,SEA,16,1648,0.4,5.8,0.1,1.6,9.8
241,156,6310,13,AM,5,L,O,Aurora Ave N,Crockett St,NS,N,SEA,13,1339,0,0.1,0,0.2,8.2
241,156,5730,17,XEV,5,L,I,Greenwood Ave N,N 100th St,FS,S,SEA,8,647,0.3,2.3,0.1,0.5,5.3
241,156,6310,13,MID,5,L,O,Aurora Ave N,Crockett St,NS,N,SEA,24,2507,0,0.1,0.1,2.2,15
241,156,5730,17,XNT,5,L,I,Greenwood Ave N,N 100th St,FS,S,SEA,6,458,0.1,0.5,0,0,3.8
