DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2023,May,North,Roosevelt,1 Line,4984,48656,146,
2023,May,North,U District,1 Line,25812,71674,147,
2023,May,North,University of Washington,1 Line,21630,43527,148,
2023,May,North,Capitol Hill,1 Line,50939,59290,149,
2023,May,North,Westlake/Seattle,1 Line,69421,59172,150,
2023,May,North,University St,1 Line,30910,26163,151,
2023,May,North,Pioneer Square,1 Line,35342,28515,152,
2023,May,North,International District/Chinatown,1 Line,39132,19874,153,
2023,May,North,Stadium,1 Line,15630,14079,154,
2023,May,North,SODO,1 Line,13356,7903,155,
2023,May,North,Beacon Hill,1 Line,19043,9674,156,
2023,May,North,Mount Baker,1 Line,15042,8981,157,
2023,May,North,Columbia City,1 Line,18051,5668,158,
2023,May,North,Othello,1 Line,21140,7272,160,
2023,May,North,Rainier Beach,1 Line,14902,5089,161,
2023,May,North,Tukwila International Blvd,1 Line,25479,7445,163,
2023,May,North,SeaTac/Airport,1 Line,71580,10197,164,
2023,May,North,Angle Lake,1 Line,50543,453,165,
2023,May,South,Northgate,1 Line,125882,189,145,
2023,May,South,Roosevelt,1 Line,52578,5267,146,
2023,May,South,U District,1 Line,77499,26993,147,
2023,May,South,University of Washington,1 Line,48741,20047,148,
2023,May,South,Capitol Hill,1 Line,52692,59365,149,
2023,May,South,Westlake/Seattle,1 Line,60637,70939,150,
2023,May,South,University St,1 Line,26018,32554,151,
2023,May,South,Pioneer Square,1 Line,27661,35694,152,
2023,May,South,International District/Chinatown,1 Line,24249,43777,153,
2023,May,South,Stadium,1 Line,13074,28520,154,
2023,May,South,SODO,1 Line,8171,11481,155,
2023,May,South,Beacon Hill,1 Line,9955,21997,156,
2023,May,South,Mount Baker,1 Line,10571,15604,157,
2023,May,South,Columbia City,1 Line,6206,18658,158,
2023,May,South,Othello,1 Line,8079,22943,160,
2023,May,South,Rainier Beach,1 Line,4870,15816,161,
2023,May,South,Tukwila International Blvd,1 Line,7854,29149,163,
2023,May,South,SeaTac/Airport,1 Line,10945,66926,164,
2023,May,South,Angle Lake,1 Line,5289,55214,165,
