SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
193,143,22557,1,AM,673,L,I,SW Barton St,26th Ave SW,NS,N,SEA,43,4109,2.1,91.7,0,0.6,2.1
193,143,22260,2,AM,673,L,I,SW Roxbury St,28th Ave SW,NS,N,SEA,42,4022,1.1,47,0.1,6.2,3.1
193,143,22560,3,AM,673,L,I,35th Ave SW,SW Roxbury St,FS,N,SEA,42,4185,0.6,24.6,0.5,21,3.1
193,143,31765,4,AM,673,L,I,SW Barton St,35th Ave SW,FS,N,SEA,42,4187,1.7,71.4,0.1,5.6,4.6
193,143,31791,5,AM,673,L,I,California Ave SW,SW Director St,FS,N,SEA,42,4191,0.4,17.9,0.1,4.7,4.9
193,143,19650,6,AM,673,L,I,SW Wildwood Pl,45th Ave SW,FS,N,SEA,42,4192,1,43.1,0.1,5,5.8
193,143,19670,7,AM,673,L,I,Fauntleroy Way SW,SW Barton St,NS,N,SEA,42,4192,2.2,92.4,0.1,5.5,7.8
193,143,19700,8,AM,673,L,I,Fauntleroy Way SW,SW Rose St,FS,N,SEA,42,4193,0.6,24.5,0.1,2.9,8.3
193,143,19740,9,AM,673,L,I,Fauntleroy Way SW,SW Webster St,FS,N,SEA,42,4193,0.8,35.5,0.1,3.1,9.1
193,143,19750,10,AM,673,L,I,Fauntleroy Way SW,SW Myrtle St,FS,N,SEA,42,4193,2.3,96.5,0.2,9.6,11.2
193,143,19790,11,AM,673,L,I,California Ave SW,Fauntleroy Way SW,FS,N,SEA,42,4193,4.9,203.9,0.3,13.5,15.7
193,143,19830,12,AM,673,L,I,California Ave SW,SW Findlay St,FS,N,SEA,41,4090,5.1,210.5,0.2,8.4,20.6
193,143,19862,13,AM,673,L,I,SW Alaska St,California Ave SW,NS,N,SEA,41,4089,10.5,431.2,1.9,76.7,29.3
193,143,33220,14,AM,673,L,I,SW Alaska St,Fauntleroy Way SW,FS,N,SEA,40,3985,6.6,265.1,0.6,22.5,35.1
193,143,22820,15,AM,673,L,I,35th Ave SW,SW Avalon Way,NS,N,SEA,40,3984,4.4,176.6,0.4,15.7,39.1
193,143,19930,16,AM,673,L,I,SW Avalon Way,SW Yancy St,FS,N,SEA,40,3984,4,160.8,0.4,14.8,42.7
193,143,1565,17,AM,673,L,I,Columbia St,Western Ave,NS,N,SEA,38,612,2.5,95.2,4.1,156.5,26.9
193,143,539,18,AM,673,L,I,3rd Ave,Marion St,NS,N,SEA,38,613,0.8,28.5,5.5,209.2,22.1
193,143,558,19,AM,673,L,I,3rd Ave,Seneca St,NS,N,SEA,36,3592,4.2,151.9,16.3,586.2,25.4
193,143,578,20,AM,673,L,I,3rd Ave,Pike St,FS,N,SEA,36,3591,4.5,161.1,9,323.6,20.8
193,143,600,21,AM,673,L,I,3rd Ave,Virginia St,FS,N,SEA,34,3408,2.7,92.5,3.8,130.1,20
193,143,18440,22,AM,673,L,I,Blanchard St,6th Ave,NS,N,SEA,33,3329,0.4,14.1,2.2,73.9,18.1
193,143,26690,23,AM,673,L,I,Westlake Ave,9th Ave,FS,N,SEA,34,3431,1.7,57.4,3.7,126.3,15.8
193,143,26715,24,AM,673,L,I,Westlake Ave N,Harrison St,NS,N,SEA,34,3431,0.2,5.4,8.6,292.4,7.3
193,143,26730,25,AM,673,L,I,Westlake Ave N,Mercer St,FS,N,SEA,34,3425,0.1,2,1.9,65.8,5.4
193,143,10325,26,AM,673,L,I,Fairview Ave N,Valley St,FS,N,SEA,32,3242,0.4,12.7,5.9,190.1,0
193,143,1556,NULL,AM,673,L,I,1st Ave S,S King St,FS,N,NULL,38,3145,2.8,108.1,8.3,315.2,40.2
193,143,10328,1,AM,673,L,O,Valley St,Fairview Ave N,NS,S,SEA,25,2543,1,25.4,0,0,1.1
193,143,26641,2,AM,673,L,O,Westlake Ave N,Mercer St,FS,S,SEA,24,2423,1.4,32.4,0,1,2.4
193,143,26645,3,AM,673,L,O,Westlake Ave N,Harrison St,FS,S,SEA,24,2455,1.7,40,0,0.7,4
193,143,26665,4,AM,673,L,O,Westlake Ave,9th Ave,FS,S,SEA,24,2458,1.9,44.5,0.5,11.5,5.4
193,143,420,5,AM,673,L,O,3rd Ave,Virginia St,NS,S,SEA,24,2457,1.4,33.3,0.7,17.1,6
193,143,431,6,AM,673,L,O,3rd Ave,Pike St,NS,S,SEA,23,2355,2.4,55.4,1.3,28.8,7.2
193,143,468,7,AM,673,L,O,3rd Ave,Seneca St,FS,S,SEA,23,2355,1.6,37,1.4,31.2,7.5
193,143,481,8,AM,673,L,O,3rd Ave,Columbia St,NS,S,SEA,23,2356,1.4,31.8,1.1,24.2,7.9
193,143,1558,9,AM,673,L,O,Columbia St,Alaskan Way,NS,S,SEA,22,365,0.6,14.2,0.6,12.3,7.5
193,143,19898,10,AM,673,L,O,SW Avalon Way,SW Bradford St,FS,S,SEA,21,2147,0.5,9.5,0.6,11.6,7.8
193,143,22830,11,AM,673,L,O,35th Ave SW,SW Avalon Way,FS,S,SEA,20,2048,0.5,9.7,0.6,12.3,7.6
193,143,32364,12,AM,673,L,O,SW Alaska St,Fauntleroy Ave SW,NS,S,SEA,20,2047,0.4,8.7,1.2,23.1,6.9
193,143,20041,13,AM,673,L,O,SW Alaska St,California Ave SW,FS,S,SEA,21,2151,0.9,19.6,3.3,68.9,4.2
193,143,20090,14,AM,673,L,O,California Ave SW,SW Findlay St,FS,S,SEA,21,2151,0.3,6.6,0.4,8.8,4.1
193,143,20130,15,AM,673,L,O,Fauntleroy Way SW,California Ave SW,FS,S,SEA,21,2151,0.4,8.6,0.5,11.4,4
193,143,20170,16,AM,673,L,O,Fauntleroy Way SW,SW Myrtle St,FS,S,SEA,20,2059,0.2,3.8,0.4,8.4,3.8
193,143,20190,17,AM,673,L,O,Fauntleroy Way SW,SW Webster St,FS,S,SEA,20,2058,0.1,1.3,0.2,3.5,3.7
193,143,20220,18,AM,673,L,O,Fauntleroy Way SW,SW Rose St,FS,S,SEA,20,2059,0.1,2.1,0.1,1,3.8
193,143,20250,19,AM,673,L,O,Fauntleroy Way SW,SW Barton St,FS,S,SEA,20,2057,0.8,16,0.4,8.7,4.1
193,143,20270,20,AM,673,L,O,SW Wildwood Pl,46th Ave SW,FS,S,SEA,20,2059,0.1,2.2,0.2,4.2,4
193,143,32030,21,AM,673,L,O,California Ave SW,SW Barton St,NS,S,SEA,20,2058,0,0.8,0.1,1.2,4
193,143,22553,22,AM,673,L,O,SW Barton St,35th Ave SW,FS,S,SEA,19,1946,0.2,3.8,0.8,15.4,3.5
193,143,22557,23,AM,673,L,O,SW Barton St,26th Ave SW,NS,S,SEA,19,1953,0,0,3.5,65.9,0
