RouteNum,RouteLen,CrowFlyLen,lengthRatio,polylineCount,stopGroupCount
A Line,18.100140491645142,16.437709793668468,1.1011419476973978,3.0,2
B Line,15.945894045348492,8.451602484173652,1.8868218902937568,2.0,2
C Line,19.271433671081986,6.008326213759359,0.3368649975587752,3.0,2
D Line,14.618460048821749,11.503601949963432,1.27086023247877,3.0,2
E Line,21.574272390627527,9.643326590670021,0.06006348476609236,6.0,2
F Line,20.184704683737856,10.748430433196166,1.8779096444270986,5.0,2
G Line,5.407776382223231,0.0530640463453174,101.91036595723982,9.0,1
H Line,20.668846014036347,15.878722745550196,1.301665213190832,2.0,2
1,7.578023398771544,6.227903462690359,1.2150874280234967,3.0,2
2,12.144249844726263,3.275484444923815,3.939451418102216,6.0,2
3,8.39897425201547,2.441405038113105,3.9635316425952745,7.0,2
4,13.386186886992093,4.715946569090221,3.1987950173137896,7.0,2
5,17.07433024408765,15.827889971518939,1.0786896355303282,2.0,2
7,15.6597997158309,10.409431229389334,1.5040408178784361,14.0,2
8,11.534728393220508,6.336469230400533,1.8334204615374317,4.0,2
9,13.442345086281064,11.938483364997385,1.1260161453673003,2.0,2
10,4.4261821551205385,2.611300702918477,1.6950105172390484,2.0,2
11,6.704377746574331,5.099452666011206,1.3147249686736475,2.0,2
12,4.480235872821558,2.808373062059575,1.5953136473741454,3.0,2
13,7.600862749998527,3.5308981578219325,4.621043927412638,4.0,2
14,8.82472304202686,6.216836481464306,1.4219309938392388,7.0,2
17,13.779240571455306,11.880750953414818,1.1597752307550686,2.0,2
21,28.564280955001337,5.572134804750334,38.29038918864805,24.0,2
22,11.11973590049377,5.033585702706919,2.2091082892487344,2.0,2
24,15.517663108304479,8.04284984127278,1.9410303846347792,5.0,2
27,7.388171362145341,2.321493381070146,0.22896392209241712,4.0,2
28,12.10943589246377,10.868410201177873,1.1127355189451105,2.0,2
31,14.027857283466536,9.227282972310423,1.519910345211159,2.0,2
32,14.009022527362328,7.163560192751126,1.9559998531033274,2.0,2
33,12.998105270778805,0.4675546535376056,6.76674239438781,8.0,2
36,10.83290924115064,8.222108798922752,1.3317408035280214,3.0,2
40,20.313702573103583,11.399815799838429,1.7819289604788056,2.0,2
43,7.750182570844612,5.994874801771017,1.2920807711902211,2.0,2
44,8.611959801034882,7.256976840113253,1.1866564443168857,2.0,2
45,12.012346793796482,4.615294795019258,3.826480609782075,4.0,2
48,11.067244897412126,4.897919178498483,20.319980030580563,4.0,2
49,8.15998445816074,6.385131238906598,1.2762116788285138,3.0,2
50,23.899930264902405,10.50576762719422,2.274934218327592,4.0,2
56,12.049535111023943,6.418838103624471,1.8775132838111088,2.0,2
57,13.798887369678638,6.701120957053288,2.0593327403698867,2.0,2
60,18.754436309368188,11.557504274217017,1.622821069514936,4.0,2
61,8.767521595010031,6.2043178607033465,1.414850917840519,2.0,2
62,19.18006809709641,5.872509495307337,15.409805460566595,6.0,2
65,13.511165248127597,8.541118007762861,1.587319537078047,2.0,2
67,9.035650292019405,5.122761401816269,1.7396877710185517,2.0,2
70,8.361871937623132,3.493737058476455,0.10511603938765579,3.0,2
75,15.020241885671258,4.987488436327625,3.0955973534468377,2.0,2
79,12.372784946052484,2.56430640869781,4.825419315588169,2.0,2
101,23.202075077916607,18.349809904890236,1.2644322309049136,2.0,2
102,37.97594574256159,11.143130832557535,0.3402016252075263,3.0,2
105,7.333725352393735,3.521780864877669,2.082391163383323,2.0,2
106,18.764480054802455,8.029491660528164,162.31272414751302,3.0,2
107,21.741004625307447,13.491380223621888,1.6114842724559504,5.0,2
111,41.95911406457655,20.026001047112885,2.0961284883876123,2.0,2
113,15.955681533934104,12.563650089705703,1.2695332275797984,4.0,2
118,22.66209509998398,16.698434275170158,1.4197585428721005,5.0,2
119,24.370046070878068,8.970650698166923,5.787316008868946,4.0,2
124,23.531369957869703,18.61666485446854,1.2684688217013527,8.0,2
125,13.505544091654064,3.922871893903287,3.224723355196655,8.0,2
128,29.90526173716524,8.72190346313742,3.749147541617294,13.0,2
131,20.229778462309852,8.086302256519307,0.11918994249579073,3.0,2
132,23.062286572396232,8.086302256519307,0.18563642550576687,4.0,2
148,12.592436361351128,5.877804604503683,2.142356583187011,20.0,2
150,35.62957262715884,26.906546075343933,1.3241926848587102,4.0,2
153,13.190776939117121,10.80536172653756,1.2210623217035113,2.0,2
156,20.151819499037046,8.572660284302398,2.3507078118956284,2.0,2
160,28.822365867241146,19.565999842395357,1.4730850379680174,3.0,2
161,19.858507822154166,12.309382571498244,1.6132909314382247,3.0,2
162,41.741169237549,30.188331258460618,1.384714415752901,2.0,2
165,36.66266898108721,14.154842876319016,3.3360554603253667,7.0,2
168,19.569696670922326,16.286860348301083,1.2015635341364836,2.0,2
177,38.41191074711898,19.631454940613374,4.05221820276167,3.0,2
181,23.17012094817322,6.942471964027214,0.3172263680569811,3.0,2
182,11.968105412161771,6.437625566799403,1.8590869083602137,2.0,2
183,17.598936341868473,9.183794039018812,1.9163153144630412,3.0,2
184,7.154130220959825,3.7807993874547416,1.892226877918543,2.0,2
187,9.080653408987992,4.389272884753251,2.0678549358265457,3.0,2
193,40.23485235403942,32.66146088113046,1.231875346366603,3.0,2
204,9.878860297713102,2.7771997003616082,25.489427924329394,4.0,2
208,32.85737262596491,20.802568498544638,1.5794840102595975,5.0,2
212,22.426988555355315,14.785641474438552,1.5165106421732464,7.0,2
218,31.070481082562328,24.819809920374936,1.2519081243409855,2.0,2
221,29.850315972570456,10.576466520424663,2.824053471139635,23.0,2
