RouteNum,RouteLen,CrowFlyLen,lengthRatio,polylineCount,stopGroupCount
510,47.71515324007396,43.17435302654789,1.1050435891117765,3.0,2
512,45.05221410063996,15.920726723359932,0.083246358313118,8.0,2
513,23.391390740698156,13.009014089418056,1.7981075727608078,6.0,2
515,26.21396167913577,24.289141155956273,1.0792472296369169,2.0,2
522,24.632458782450996,7.600331909022859,0.3173411816528181,6.0,2
532,47.423769828253654,39.48280993504287,1.2011242810683418,4.0,2
535,36.06927131497846,22.936331686005932,1.5725838558740093,4.0,2
542,22.014937886522205,14.210746416842824,1.5491953492067123,2.0,2
545,30.396055979197552,10.911945000620914,6.285356024439701,3.0,2
550,19.979307192241343,5.320628098812279,0.4394784356525846,3.0,2
554,49.17089953807254,19.196295696089507,2.5615373194597995,6.0,2
556,37.235718426115625,25.360853462758676,1.4682463497035831,6.0,2
560,42.49023425058081,16.629252454976346,2.5551532744946943,2.0,2
566,49.61928953620229,19.21933164878649,0.1557814350732304,5.0,2
574,52.63138060152073,34.99830756250819,1.5040757717728201,10.0,2
577,38.18018939350429,33.16905646281793,1.151692999403546,3.0,2
578,70.5697349533105,46.9138747826147,1.5042001947245263,9.0,2
580,3.895036812226123,3.5727380029113442,1.0901856145788584,2.0,2
586,60.993369901033155,46.879511290871974,1.3013577734830566,8.0,2
590,55.72939137912625,24.203245745957464,4.491108381904188,27.0,2
592,81.07416397212918,63.21895574123589,1.282425066718172,13.0,2
594,86.42915780267455,36.94901808069694,4.676131491563535,29.0,2
595,84.34988553654053,33.71801761699246,2.501757582999213,13.0,2
596,8.39643491237613,5.505825399181259,1.5250092953591876,2.0,2
