SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
243,157,75995,1,AM,231,L,I,Woodinville P&R AcRd,NE 179th St,FS,S,WDV,4,477,1.1,4.3,0.1,0.2,1.2
243,157,73814,1,AM,231,L,O,3rd St,Park Ln,FS,N,KIR,3,361,1.8,5.3,0,0,2.5
243,157,78002,2,AM,231,L,I,138th Pl NE,NE 178th Pl,FS,S,WDV,4,476,0,0,0,0,1.2
243,157,74580,2,AM,231,L,O,3rd St,6th Ave,FS,N,KIR,3,361,0.2,0.5,0,0,2.7
243,157,78000,3,AM,231,L,I,138th Pl NE,NE 175th St,NS,S,WDV,4,487,0.1,0.3,0,0,1.2
243,157,74590,3,AM,231,L,O,3rd St,7th Ave,NS,N,KIR,3,361,0,0.1,0,0,2.7
243,157,74600,4,AM,231,L,O,3rd St,9th Ave,FS,N,KIR,3,361,0,0,0,0,2.7
243,157,70003,4,AM,231,L,I,140th Ave NE,NE 175th St,FS,S,WDV,4,483,0,0.1,0,0,1.2
243,157,74610,5,AM,231,L,O,3rd St,10th Ave,FS,N,KIR,3,361,0,0.1,0,0.1,2.7
243,157,70004,5,AM,231,L,I,NE 171st St,140th Ave NE,FS,S,WDV,4,490,0.2,0.9,0,0,1.5
243,157,74630,6,AM,231,L,O,3rd St,13th Ave,FS,N,KIR,3,361,0,0.1,0,0,2.7
243,157,75999,6,AM,231,L,I,NE 171st St,133rd Ave NE,NS,S,WDV,4,490,0.5,2.1,0,0,2
243,157,74640,7,AM,231,L,O,3rd St,15th Ave,FS,N,KIR,3,361,0.1,0.3,0,0,2.8
