route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id
100160,117816,34745815,"Overlake ","LOCAL",0,5907519,11269002,0,101
100160,117816,34745824,"Overlake ","LOCAL",0,5907539,11269002,0,101
100160,117816,34745825,"Overlake ","LOCAL",0,5907524,11269002,0,101
100160,117816,34745826,"Overlake ","LOCAL",0,5907535,11269002,0,101
100160,117816,34745890,"Overlake ","LOCAL",0,5907514,11269002,0,101
100160,117816,34746022,"Issaquah Transit Center ","LOCAL",1,5907519,20269003,0,101
100160,117816,34746023,"Issaquah Transit Center ","LOCAL",1,5907519,20269003,0,101
100160,117816,34746024,"Issaquah Transit Center ","LOCAL",1,5907518,20269003,0,101
100160,117816,34746025,"Issaquah Transit Center ","LOCAL",1,5907519,20269003,0,101
100160,117816,34746026,"Issaquah Transit Center ","LOCAL",1,5907514,20269003,0,101
100160,117816,34746027,"Issaquah Transit Center ","LOCAL",1,5907514,20269003,0,101
100160,117816,34746029,"Issaquah Transit Center ","LOCAL",1,5907535,20269003,0,101
100160,117816,34746030,"Issaquah Transit Center ","LOCAL",1,5907535,20269003,0,101
100160,117816,34746031,"Overlake ","LOCAL",0,5907514,11269002,0,101
100160,117816,34746032,"Overlake ","LOCAL",0,5907535,11269002,0,101
100160,117816,34746034,"Overlake ","LOCAL",0,5907519,11269002,0,101
100160,117816,34746035,"Issaquah Transit Center ","LOCAL",1,5907518,20269003,0,101
100160,117816,34746036,"Overlake ","LOCAL",0,5907518,11269002,0,101
100160,117816,34746037,"Overlake ","LOCAL",0,5907518,11269002,0,101
100160,117816,34746038,"Overlake ","LOCAL",0,5907539,11269002,0,101
100160,117816,34746039,"Issaquah Transit Center ","LOCAL",1,5907539,20269003,0,101
100113,117816,34746059,"Redmond Transit Center ","LOCAL",1,5907445,10221004,0,101
100113,117816,34746060,"Redmond Transit Center ","LOCAL",1,5907475,10221004,0,101
100113,117816,34746061,"Redmond Transit Center ","LOCAL",1,5907445,10221004,0,101
100113,117816,34746062,"Education Hill ","LOCAL",1,5907445,10221002,0,101
100113,117816,34746063,"Education Hill ","LOCAL",1,5907475,10221002,0,101
100113,117816,34746064,"Eastgate P&R ","LOCAL",0,5907445,21221003,0,101
100113,117816,34746065,"Education Hill ","LOCAL",1,5907475,10221002,0,101
100113,117816,34746066,"Eastgate P&R ","LOCAL",0,5907451,21221003,0,101
100113,117816,34746067,"Eastgate P&R ","LOCAL",0,5907475,21221003,0,101
100113,117816,34746068,"Education Hill ","LOCAL",1,5907444,10221002,0,101
100113,117816,34746069,"Education Hill ","LOCAL",1,5907445,10221002,0,101
100113,117816,34746070,"Education Hill ","LOCAL",0,5907445,21221006,0,101
100113,117816,34746071,"Education Hill ","LOCAL",0,5907449,21221006,0,101
100113,117816,34746072,"Education Hill ","LOCAL",0,5907475,21221006,0,101
100113,117816,34746073,"Education Hill ","LOCAL",0,5907445,21221006,0,101
100113,117816,34746074,"Education Hill ","LOCAL",0,5907475,21221006,0,101
100113,117816,34746075,"Education Hill ","LOCAL",0,5907445,21221006,0,101
100113,117816,34746076,"Education Hill ","LOCAL",1,5907475,10221002,0,101
100113,117816,34746077,"Education Hill ","LOCAL",1,5907450,10221002,0,101
100113,117816,34746078,"Eastgate P&R ","LOCAL",0,5907450,21221003,0,101
100113,117816,34746079,"Eastgate P&R ","LOCAL",0,5907444,21221003,0,101
100113,117816,34746080,"Education Hill ","LOCAL",0,5907512,21221006,0,101
100113,117816,34746081,"Redmond Transit Center ","LOCAL",1,5907445,10221005,0,101
100113,117816,34746082,"Redmond Transit Center ","LOCAL",1,5907449,10221004,0,101
100113,117816,34746083,"Eastgate P&R ","LOCAL",0,5907475,21221003,0,101
100113,117816,34746084,"Eastgate P&R ","LOCAL",0,5907444,21221003,0,101
100113,117816,34746085,"Education Hill ","LOCAL",1,5907451,10221002,0,101
100113,117816,34746086,"Redmond Transit Center ","LOCAL",1,5907449,10221004,0,101
100113,117816,34746087,"Redmond Transit Center ","LOCAL",1,5907449,10221004,0,101
100113,117816,34746088,"Education Hill ","LOCAL",0,5907449,21221006,0,101
100113,117816,34746089,"Eastgate P&R ","LOCAL",0,5907449,21221003,0,101
100113,117816,34746090,"Eastgate P&R ","LOCAL",0,5907445,21221003,0,101
100113,117816,34746091,"Education Hill ","LOCAL",1,5907449,10221002,0,101
100113,117816,34746092,"Education Hill ","LOCAL",1,5907449,10221002,0,101
100113,117816,34746093,"Education Hill ","LOCAL",1,5907445,10221002,0,101
100113,117816,34746094,"Education Hill ","LOCAL",0,5907449,21221006,0,101
100162,117816,34746096,"University District Bellevue","LOCAL",1,5907521,30271003,0,101
100162,117816,34746097,"University District Bellevue","LOCAL",1,5907545,30271003,0,101
100162,117816,34746098,"Eastgate P&R Bellevue","LOCAL",0,5907538,41271006,0,101
100162,117816,34746099,"Eastgate P&R Bellevue","LOCAL",0,5907521,41271016,0,101
100162,117816,34746100,"University District ","LOCAL",1,5907514,30271008,0,101
100162,117816,34746101,"University District Bellevue","LOCAL",1,5907532,30271003,0,101
100162,117816,34746102,"University District Bellevue","LOCAL",1,5907903,30271003,0,101
100162,117816,34746105,"University District Bellevue","LOCAL",1,5907523,30271003,0,101
100162,117816,34746109,"University District Bellevue","LOCAL",1,5907532,30271004,0,101
100162,117816,34746110,"University District Bellevue","LOCAL",1,5907521,30271004,0,101
100162,117816,34746111,"University District Bellevue","LOCAL",1,5907902,30271003,0,101
100162,117816,34746112,"University District Bellevue","LOCAL",1,5907904,30271003,0,101
100162,117816,34746114,"University District Bellevue","LOCAL",1,5907545,30271003,0,101
100162,117816,34746115,"University District Bellevue","LOCAL",1,5907513,30271004,0,101
100162,117816,34746117,"University District Bellevue","LOCAL",1,5907537,30271004,0,101
100162,117816,34746118,"University District Bellevue","LOCAL",1,5907516,30271004,0,101
100162,117816,34746119,"University District Bellevue","LOCAL",1,5907533,30271004,0,101
100162,117816,34746120,"University District Bellevue","LOCAL",1,5907521,30271004,0,101
100162,117816,34746121,"University District Bellevue","LOCAL",1,5907511,30271003,0,101
100162,117816,34746122,"University District Bellevue","LOCAL",1,5907528,30271003,0,101
100162,117816,34746123,"University District Bellevue","LOCAL",1,5907525,30271004,0,101
100162,117816,34746124,"University District Bellevue","LOCAL",1,5907516,30271003,0,101
100162,117816,34746125,"University District Bellevue","LOCAL",1,5907513,30271003,0,101
100162,117816,34746126,"University District Bellevue","LOCAL",1,5907521,30271004,0,101
