DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2024,May,North,Northgate,1 Line,6804,120154,145,
2024,May,North,Roosevelt,1 Line,5658,51460,146,
2024,May,North,U District,1 Line,25931,75203,147,
2024,May,North,University of Washington,1 Line,22994,46029,148,
2024,May,North,Capitol Hill,1 Line,51500,62138,149,
2024,May,North,Westlake/Seattle,1 Line,73305,63367,150,
2024,May,North,University St,1 Line,32017,27918,151,
2024,May,North,Pioneer Square,1 Line,20462,15446,152,
2024,May,North,International District/Chinatown,1 Line,45219,21428,153,
2024,May,North,Stadium,1 Line,12972,12215,154,
2024,May,North,SODO,1 Line,13876,7559,155,
2024,May,North,Beacon Hill,1 Line,20777,10449,156,
2024,May,North,Mount Baker,1 Line,18215,9926,157,
2024,May,North,Columbia City,1 Line,20058,6055,158,
2024,May,North,Othello,1 Line,22519,7387,160,
2024,May,North,Rainier Beach,1 Line,15753,5282,161,
2024,May,North,Tukwila International Blvd,1 Line,27964,8181,163,
2024,May,North,SeaTac/Airport,1 Line,86183,5561,164,
2024,May,North,Angle Lake,1 Line,33044,394,165,
2024,May,South,Northgate,1 Line,113797,147,145,
2024,May,South,Roosevelt,1 Line,49006,4608,146,
2024,May,South,U District,1 Line,72479,23781,147,
2024,May,South,University of Washington,1 Line,41639,18944,148,
2024,May,South,Capitol Hill,1 Line,48230,52860,149,
2024,May,South,Westlake/Seattle,1 Line,55509,65116,150,
2024,May,South,University St,1 Line,23186,30108,151,
2024,May,South,Pioneer Square,1 Line,11783,17907,152,
2024,May,South,International District/Chinatown,1 Line,20735,43738,153,
2024,May,South,Stadium,1 Line,8940,26790,154,
2024,May,South,SODO,1 Line,6386,10387,155,
2024,May,South,Beacon Hill,1 Line,8534,19970,156,
2024,May,South,Mount Baker,1 Line,8897,14678,157,
2024,May,South,Columbia City,1 Line,5192,16656,158,
2024,May,South,Othello,1 Line,6707,19200,160,
2024,May,South,Rainier Beach,1 Line,4238,13658,161,
2024,May,South,Tukwila International Blvd,1 Line,6320,29224,163,
2024,May,South,SeaTac/Airport,1 Line,6754,67314,164,
2024,May,South,Angle Lake,1 Line,3897,28014,165,
