SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
222,151,10658,1,AM,62,L,I,NOAA AcRd,NOAA AcRd,AT,S,SEA,16,821,0.2,3.6,0,0.5,0.3
222,151,10653,2,AM,62,L,I,NOAA AcRd,Unnamed,AT,S,SEA,16,822,0,0.2,0,0.1,0.3
222,151,10657,3,AM,62,L,I,NE NOAA Dr,NOAA AcRd,NS,S,SEA,15,777,0,0.1,0,0,0.3
222,151,9895,4,AM,62,L,I,Sand Point Way NE,NE 77th St,FS,S,SEA,15,719,0.2,2.6,0,0,0.5
222,151,9900,5,AM,62,L,I,Sand Point Way NE,NE 74th St,FS,S,SEA,15,837,0.2,3.7,0,0.1,0.7
222,151,9912,6,AM,62,L,I,Sand Point Way NE,NE 70th St,FS,S,SEA,15,879,0.5,7,0,0.1,1.1
222,151,9920,7,AM,62,L,I,Sand Point Way NE,NE 65th St,NS,S,SEA,15,887,0.3,4.8,0,0,1.4
222,151,10640,8,AM,62,L,I,Sand Point Way NE,NE 74th St,NS,S,SEA,7,413,0.8,5.7,0,0.1,0.8
222,151,9901,9,AM,62,L,I,62nd Ave NE,NE 65th St,NM,S,SEA,7,412,0.3,1.9,0,0,1.1
222,151,37849,10,AM,62,L,I,NE 65th St,Sand Point Way NE,FS,S,SEA,22,1312,0.4,8,0,0.2,1.6
222,151,37850,11,AM,62,L,I,NE 65th St,55th Ave NE,FS,S,SEA,22,1310,0.2,3.7,0,0.1,1.8
222,151,37860,12,AM,62,L,I,NE 65th St,52nd Ave NE,FS,S,SEA,22,1310,0.1,2.3,0,0.1,1.9
222,151,37870,13,AM,62,L,I,NE Princeton Way,Princeton Ave NE,FS,S,SEA,22,1310,0.1,1.4,0,0,2
222,151,37880,14,AM,62,L,I,NE 65th St,49th Ave NE,FS,S,SEA,22,1312,0.1,2.4,0,0,2.1
222,151,37890,15,AM,62,L,I,NE 65th St,47th Ave NE,FS,S,SEA,22,1313,0.2,3.9,0,0,2.2
222,151,37900,16,AM,62,L,I,NE 65th St,44th Ave NE,FS,S,SEA,22,1313,0.3,6.4,0,0,2.5
222,151,37910,17,AM,62,L,I,NE 65th St,42nd Ave NE,FS,S,SEA,22,1313,0.2,4.3,0,0.6,2.7
222,151,37920,18,AM,62,L,I,NE 65th St,39th Ave NE,NS,S,SEA,21,1249,0.5,11.4,0,0.2,3.2
222,151,37930,19,AM,62,L,I,NE 65th St,37th Ave NE,FS,S,SEA,21,1249,0.1,3.1,0,0,3.4
222,151,37940,20,AM,62,L,I,NE 65th St,35th Ave NE,FS,S,SEA,21,1249,1,20.1,0.1,2.3,4.2
222,151,37950,21,AM,62,L,I,NE 65th St,32nd Ave NE,FS,S,SEA,21,1249,0.3,6.6,0,0.2,4.5
222,151,37970,22,AM,62,L,I,NE 65th St,28th Ave NE,FS,S,SEA,21,1249,0.4,7.9,0,0,4.9
222,151,37980,23,AM,62,L,I,NE 65th St,26th Ave NE,NS,S,SEA,21,1249,0.2,4,0.1,1.1,5
222,151,37990,24,AM,62,L,I,NE 65th St,25th Ave NE,FS,S,SEA,21,1249,1,20.2,0,0.4,5.9
222,151,38000,25,AM,62,L,I,NE 65th St,Ravenna Ave NE,FS,S,SEA,21,1249,0.4,7.7,0,0.1,6.2
222,151,38020,26,AM,62,L,I,NE 65th St,18th Ave NE,FS,S,SEA,21,1248,0.1,2.5,0,0.2,6.3
222,151,36931,27,AM,62,L,I,NE 65th St,14th Ave NE,FS,S,SEA,21,1248,0.3,5.8,0.4,8.7,6.2
222,151,36940,28,AM,62,L,I,NE 65th St,12th Ave NE,FS,S,SEA,21,1249,1.1,23.5,3,63.7,4.3
222,151,36960,29,AM,62,L,I,NE 65th St,Oswego Pl NE,NS,S,SEA,22,1312,0.9,19.5,0.2,3.5,4.9
222,151,16515,30,AM,62,L,I,NE Ravenna Blvd,NE 68th St,FS,S,SEA,22,1312,0,0.9,0,0.9,4.9
222,151,16520,31,AM,62,L,I,NE Ravenna Blvd,NE 70th St,NS,S,SEA,22,1312,1,21,0.3,5.7,5.6
222,151,17170,32,AM,62,L,I,Woodlawn Ave NE,5th Ave NE,FS,S,SEA,22,1312,0.4,7.8,0.1,1.1,5.8
222,151,17180,33,AM,62,L,I,Woodlawn Ave NE,1st Ave NE,FS,S,SEA,21,1246,0.1,2.2,0,0.6,5.9
222,151,17209,34,AM,62,L,I,Woodlawn Ave N,N 63rd St,FS,S,SEA,21,1248,0.2,3.6,0.1,1.1,6
222,151,17230,35,AM,62,L,I,Kirkwood Pl N,N 59th St,AT,S,SEA,21,1248,0.2,4.9,0,0.6,6.2
222,151,17250,36,AM,62,L,I,N 56th St,Keystone Pl N,NS,S,SEA,21,1247,0.8,15.9,0.1,2.6,6.9
222,151,17260,37,AM,62,L,I,Meridian Ave N,N 54th St,FS,S,SEA,21,1247,0.6,12.1,0,0.4,7.4
222,151,17285,38,AM,62,L,I,Meridian Ave N,N 48th St,NS,S,SEA,21,1247,0.5,9.5,0.1,2.5,7.8
222,151,17300,39,AM,62,L,I,Meridian Ave N,N 46th St,FS,S,SEA,21,1241,0.6,13,0.1,2.5,8.3
222,151,17310,40,AM,62,L,I,N 45th St,Wallingford Ave N,NS,S,SEA,20,1181,1,19.1,0.8,15.4,8.4
222,151,29530,41,AM,62,L,I,N 45th St,Woodlawn Ave N,FS,S,SEA,20,1181,0.5,9,0.6,12.4,8.2
222,151,7350,42,AM,62,L,I,Stone Way N,N 45th St,FS,S,SEA,20,1186,1,19,0.2,4.9,8.9
222,151,7360,43,AM,62,L,I,Stone Way N,N 43rd St,FS,S,SEA,20,1187,1,19.1,0.1,1.9,9.8
222,151,7380,44,AM,62,L,I,Stone Way N,N 40th St,FS,S,SEA,20,1186,1.3,26.9,0.1,2.4,11
222,151,7382,45,AM,62,L,I,Stone Way N,N 38th St,NS,S,SEA,20,1182,1.5,30.1,0.3,5.2,12.2
222,151,26480,46,AM,62,L,I,N 35th St,Stone Way N,FS,S,SEA,20,1184,1.5,29.3,0.5,10,13.2
222,151,26490,47,AM,62,L,I,N 35th St,Troll Ave N,FS,S,SEA,20,1182,0.2,4.1,0.2,4.6,13.2
222,151,26510,48,AM,62,L,I,Fremont Ave N,N 34th St,NS,S,SEA,20,1186,1.8,36.5,1.4,28.2,13.6
222,151,18260,49,AM,62,L,I,Dexter Ave N,4th Ave N,FS,S,SEA,19,1122,0.8,15.2,0.1,1.9,14.1
222,151,18270,50,AM,62,L,I,Dexter Ave N,Halladay St,NS,S,SEA,19,1122,0.3,6.2,0,0.8,14.4
222,151,18295,51,AM,62,L,I,Dexter Ave N,6th Ave N,FS,S,SEA,19,1122,0.9,16.6,0,0.4,15.2
222,151,18315,52,AM,62,L,I,Dexter Ave N,Crockett St,FS,S,SEA,19,1122,0.8,14.9,0.1,1,15.9
222,151,18320,53,AM,62,L,I,Dexter Ave N,Howe St,FS,S,SEA,19,1122,0.4,8.1,0,0.5,16.3
222,151,18340,54,AM,62,L,I,Dexter Ave N,Galer St,FS,S,SEA,18,1075,1.2,21,0.3,5,17.2
222,151,18359,55,AM,62,L,I,Dexter Ave N,Aloha St,NS,S,SEA,18,1075,1.6,29.3,1,18.1,17.8
222,151,18370,56,AM,62,L,I,Dexter Ave N,Roy St,FS,S,SEA,18,1075,0.4,7.8,1.4,25.9,16.8
222,151,18390,57,AM,62,L,I,Dexter Ave N,Harrison St,FS,S,SEA,18,1074,0.3,6.2,2.2,38.8,15
222,151,18402,58,AM,62,L,I,Dexter Ave,Denny Way,FS,S,SEA,18,1074,0.2,3.9,1.1,19.3,14.2
222,151,6190,59,AM,62,L,I,7th Ave,Blanchard St,FS,S,SEA,18,1074,0.2,2.7,3.1,56.3,11.2
222,151,420,60,AM,62,L,I,3rd Ave,Virginia St,NS,S,SEA,16,973,0.2,2.4,1.6,25.1,9.9
222,151,430,61,AM,62,L,I,3rd Ave,Pine St,NS,S,SEA,16,973,0.1,1.9,2,31.9,8.1
222,151,450,62,AM,62,L,I,3rd Ave,Union St,FS,S,SEA,16,968,0.1,1.5,3.5,55.2,4.7
222,151,480,63,AM,62,L,I,3rd Ave,Marion St,NS,S,SEA,16,967,0.1,1.3,3.3,52.5,1.6
222,151,500,64,AM,62,L,I,3rd Ave,James St,NS,S,SEA,16,961,0,0,0.3,4.4,1.4
222,151,625,65,AM,62,L,I,S Washington St,4th Ave S,NS,S,SEA,16,964,0.6,8.9,1.9,30.4,0
222,151,1530,1,AM,62,L,O,S Jackson St,5th Ave S,FS,N,SEA,13,818,4.1,53.1,0,0.2,4.5
222,151,531,2,AM,62,L,O,3rd Ave,James St,NS,N,SEA,13,820,0.7,8.8,0.1,1.6,5
222,151,548,3,AM,62,L,O,3rd Ave,Madison St,NS,N,SEA,13,822,1.3,16.7,0.3,3.7,6
222,151,570,4,AM,62,L,O,3rd Ave,Union St,NS,N,SEA,13,821,1.4,17.8,0.3,3.9,7
222,151,590,5,AM,62,L,O,3rd Ave,Pine St,FS,N,SEA,13,818,2.7,34.9,0.3,3.5,9.5
222,151,600,6,AM,62,L,O,3rd Ave,Virginia St,FS,N,SEA,13,822,1.2,15.1,0.6,8,10
222,151,6220,7,AM,62,L,O,7th Ave,Blanchard St,FS,N,SEA,12,759,0.8,9,0.6,7.3,10.1
222,151,6240,8,AM,62,L,O,Dexter Ave N,Denny Way,FS,N,SEA,12,759,1,11.5,0.4,4.4,10.7
222,151,18455,9,AM,62,L,O,Dexter Ave N,Harrison St,FS,N,SEA,12,760,0.4,4.4,2,24,9.1
222,151,18465,10,AM,62,L,O,Dexter Ave N,Roy St,NS,N,SEA,12,761,0.4,4.7,0.5,5.7,9
222,151,18480,11,AM,62,L,O,Dexter Ave N,Aloha St,FS,N,SEA,12,760,0.4,5,1.5,17.9,7.9
222,151,18505,12,AM,62,L,O,Dexter Ave N,E Galer St,FS,N,SEA,12,760,0.7,8.8,0.5,5.5,8.2
222,151,18530,13,AM,62,L,O,Dexter Ave N,Newton St,NS,N,SEA,12,760,0,0,0.1,0.8,8.2
222,151,18540,14,AM,62,L,O,Dexter Ave N,Dexter Way N,FS,N,SEA,12,761,0.1,0.6,0,0.4,8.2
222,151,18550,15,AM,62,L,O,Dexter Ave N,Wheeler St,FS,N,SEA,12,761,0.5,5.6,0,0.3,8.6
222,151,18580,16,AM,62,L,O,Dexter Ave N,Halladay St,FS,N,SEA,12,761,0,0.2,0.2,2.9,8.4
222,151,18590,17,AM,62,L,O,Dexter Ave N,4th Ave N,NS,N,SEA,12,761,0.3,3.1,0.1,1.5,8.5
222,151,26860,18,AM,62,L,O,Fremont Ave N,N 34th St,FS,N,SEA,12,761,0.7,8.8,2.2,26.9,7
222,151,26870,19,AM,62,L,O,N 35th St,Troll Ave N,FS,N,SEA,11,698,0.2,2.3,0.1,0.9,7.3
222,151,26885,20,AM,62,L,O,N 35th St,Woodland Park Ave N,FS,N,SEA,11,699,0.2,2.7,1.6,17.8,5.9
222,151,7498,21,AM,62,L,O,Stone Way N,N 38th St,FS,N,SEA,10,633,0.3,3.1,0.3,2.6,5.9
222,151,7500,22,AM,62,L,O,Stone Way N,N 40th St,NS,N,SEA,10,634,0.3,3,0.3,2.9,5.9
222,151,7520,23,AM,62,L,O,Stone Way N,N 42nd St,FS,N,SEA,10,637,0,0.3,0.2,1.5,5.8
222,151,7530,24,AM,62,L,O,Stone Way N,N Allen Pl,NS,N,SEA,10,637,0.1,1.2,0.7,7.4,5.2
222,151,29231,25,AM,62,L,O,N 45th St,Stone Way N,FS,N,SEA,10,637,0.4,3.8,0.5,5,5.1
222,151,29232,26,AM,62,L,O,N 45th St,Woodlawn Ave N,NS,N,SEA,10,636,0.1,1,0.3,2.7,4.9
222,151,17410,27,AM,62,L,O,N 45th St,Wallingford Ave N,FS,N,SEA,10,635,0.3,2.5,0.6,6.4,4.5
222,151,17420,28,AM,62,L,O,Meridian Ave N,N 45th St,FS,N,SEA,10,635,0.2,1.7,0.3,3.3,4.4
222,151,17440,29,AM,62,L,O,Meridian Ave N,N 48th St,NS,N,SEA,10,635,0,0.1,0.1,0.7,4.3
222,151,17460,30,AM,62,L,O,Meridian Ave N,N 53rd St,FS,N,SEA,10,634,0.1,1.4,0.1,1.1,4.3
222,151,17470,31,AM,62,L,O,N 56th St,Keystone Pl N,FS,N,SEA,10,637,0.3,3.2,0.2,2.1,4.4
222,151,17490,32,AM,62,L,O,Kirkwood Pl N,N 59th St,NS,N,SEA,10,634,0.1,1.2,0,0.2,4.5
222,151,17510,33,AM,62,L,O,Woodlawn Ave N,N 63rd St,NS,N,SEA,10,628,0.2,2.3,0.2,1.5,4.6
222,151,17530,34,AM,62,L,O,Woodlawn Ave NE,Sunnyside Ave N,FS,N,SEA,10,634,0,0.3,0.3,3.3,4.3
222,151,16390,35,AM,62,L,O,NE Ravenna Blvd,Woodlawn Ave NE,FS,N,SEA,10,635,0.6,6.2,0.5,5,4.4
222,151,16400,36,AM,62,L,O,NE Ravenna Blvd,NE 68th St,FS,N,SEA,10,636,0.1,1,0.1,0.7,4.4
222,151,16416,37,AM,62,L,O,NE 65th St,8th Ave NE,NS,N,SEA,10,637,0.4,3.5,0.1,1.4,4.7
222,151,16430,38,AM,62,L,O,NE 65th St,Roosevelt Way NE,FS,N,SEA,10,637,2,20.2,1.4,14.1,5.3
222,151,37359,39,AM,62,L,O,NE 65th St,14th Ave NE,FS,N,SEA,10,455,0.1,0.9,0.1,0.6,5.4
222,151,37360,40,AM,62,L,O,NE 65th St,16th Ave NE,FS,N,SEA,10,637,0.1,1.1,0,0.2,5.4
222,151,37381,41,AM,62,L,O,NE 65th St,20th Ave NE,FS,N,SEA,10,637,0,0.4,0.3,2.6,5.2
222,151,37400,42,AM,62,L,O,NE 65th St,23rd Ave NE,FS,N,SEA,10,636,0.1,1.2,0.3,3.4,4.9
222,151,37410,43,AM,62,L,O,NE 65th St,25th Ave NE,FS,N,SEA,10,637,0.2,2.2,0.5,5.1,4.6
222,151,37420,44,AM,62,L,O,NE 65th St,27th Ave NE,FS,N,SEA,10,637,0.1,1.2,0.1,1.3,4.6
222,151,37430,45,AM,62,L,O,NE 65th St,29th Ave NE,FS,N,SEA,10,637,0,0,0.1,0.9,4.5
222,151,37440,46,AM,62,L,O,NE 65th St,31st Ave NE,FS,N,SEA,10,637,0,0,0.1,1.4,4.4
222,151,37450,47,AM,62,L,O,NE 65th St,33rd Ave NE,FS,N,SEA,10,637,0,0.1,0.2,1.6,4.2
222,151,37460,48,AM,62,L,O,NE 65th St,35th Ave NE,FS,N,SEA,10,637,0.2,2,0.6,6.3,3.8
222,151,37470,49,AM,62,L,O,NE 65th St,38th Ave NE,FS,N,SEA,10,637,0,0.1,0.1,1.3,3.7
222,151,37480,50,AM,62,L,O,NE 65th St,40th Ave NE,FS,N,SEA,10,637,0,0.3,0.3,2.9,3.5
222,151,37490,51,AM,62,L,O,NE 65th St,43rd Ave NE,FS,N,SEA,10,637,0,0.2,0.1,0.8,3.4
222,151,37500,52,AM,62,L,O,NE 65th St,45th Ave NE,FS,N,SEA,10,637,0,0,0,0.4,3.3
222,151,37510,53,AM,62,L,O,NE 65th St,Wellesley Way NE,FS,N,SEA,9,571,0,0,0.1,1,3.3
222,151,37841,54,AM,62,L,O,NE 65th St,52nd Ave NE,FS,N,SEA,9,571,0,0,0.1,1.1,3.2
222,151,37846,55,AM,62,L,O,NE 65th St,58th Ave NE,NS,N,SEA,9,571,0,0,0.1,1,3.1
222,151,10620,56,AM,62,L,O,Sand Point Way NE,NE 65th St,FS,N,SEA,9,571,0,0.1,0.4,3.8,2.7
222,151,10630,57,AM,62,L,O,Sand Point Way NE,NE 70th St,FS,N,SEA,9,571,0,0.2,0.4,3.3,2.3
222,151,10640,58,AM,62,L,O,Sand Point Way NE,NE 74th St,NS,N,SEA,9,566,0.3,2.5,1.7,15.2,0.9
222,151,10650,59,AM,62,L,O,Sand Point Way NE,NE 77th St,FS,N,SEA,8,497,0,0,0.4,3.4,0.6
222,151,10654,60,AM,62,L,O,NE NOAA Dr,NOAA AcRd,NS,N,SEA,8,493,1,8.2,1.2,9.5,0.5
222,151,10658,61,AM,62,L,O,NOAA AcRd,NOAA AcRd,AT,N,SEA,8,269,0.4,2.8,0.9,6.8,0.3
222,151,10653,62,AM,62,L,O,NOAA AcRd,Unnamed,AT,N,SEA,8,358,0.1,0.5,0.3,2.3,0
222,151,10658,1,MID,62,L,I,NOAA AcRd,NOAA AcRd,AT,S,SEA,25,1155,0.4,10.5,0.1,2.4,0.7
222,151,10653,2,MID,62,L,I,NOAA AcRd,Unnamed,AT,S,SEA,24,1120,0.1,1.9,0.1,1.7,0.7
222,151,10657,3,MID,62,L,I,NE NOAA Dr,NOAA AcRd,NS,S,SEA,25,1190,0,0.5,0,0.1,0.7
222,151,9895,4,MID,62,L,I,Sand Point Way NE,NE 77th St,FS,S,SEA,25,1127,0.2,5.2,0,0,0.9
222,151,9900,5,MID,62,L,I,Sand Point Way NE,NE 74th St,FS,S,SEA,25,1444,0.4,11,0.1,1.3,1.1
222,151,9912,6,MID,62,L,I,Sand Point Way NE,NE 70th St,FS,S,SEA,25,1553,0.6,16.2,0.1,1.4,1.6
222,151,9920,7,MID,62,L,I,Sand Point Way NE,NE 65th St,NS,S,SEA,25,1560,0.3,8.7,0,0.1,1.9
222,151,37849,10,MID,62,L,I,NE 65th St,Sand Point Way NE,FS,S,SEA,25,1577,0.4,9.4,0,0.2,2.3
222,151,37850,11,MID,62,L,I,NE 65th St,55th Ave NE,FS,S,SEA,25,1578,0.2,4.9,0,0,2.5
222,151,37860,12,MID,62,L,I,NE 65th St,52nd Ave NE,FS,S,SEA,25,1578,0.2,3.9,0,0,2.6
222,151,37870,13,MID,62,L,I,NE Princeton Way,Princeton Ave NE,FS,S,SEA,25,1578,0,0.2,0,0.3,2.6
222,151,37880,14,MID,62,L,I,NE 65th St,49th Ave NE,FS,S,SEA,25,1579,0.1,3.7,0,0,2.8
222,151,37890,15,MID,62,L,I,NE 65th St,47th Ave NE,FS,S,SEA,25,1579,0.2,4.1,0,0.2,2.9
222,151,37900,16,MID,62,L,I,NE 65th St,44th Ave NE,FS,S,SEA,25,1577,0.2,5.8,0,0,3.2
222,151,37910,17,MID,62,L,I,NE 65th St,42nd Ave NE,FS,S,SEA,25,1579,0.3,6.5,0,0.5,3.4
222,151,37920,18,MID,62,L,I,NE 65th St,39th Ave NE,NS,S,SEA,26,1643,0.4,11.5,0,0,3.8
222,151,37930,19,MID,62,L,I,NE 65th St,37th Ave NE,FS,S,SEA,26,1643,0.1,2.7,0,0.1,3.9
222,151,37940,20,MID,62,L,I,NE 65th St,35th Ave NE,FS,S,SEA,26,1643,1.4,35.5,0.3,7.9,5
222,151,37950,21,MID,62,L,I,NE 65th St,32nd Ave NE,FS,S,SEA,26,1643,0.4,9.6,0,0.5,5.3
222,151,37970,22,MID,62,L,I,NE 65th St,28th Ave NE,FS,S,SEA,26,1642,0.3,8.6,0,1,5.6
222,151,37980,23,MID,62,L,I,NE 65th St,26th Ave NE,NS,S,SEA,26,1642,0.2,5.3,0,0.9,5.7
222,151,37990,24,MID,62,L,I,NE 65th St,25th Ave NE,FS,S,SEA,26,1642,0.8,20.7,0.1,2.1,6.4
222,151,38000,25,MID,62,L,I,NE 65th St,Ravenna Ave NE,FS,S,SEA,26,1643,0.5,13.4,0.1,2.3,6.9
222,151,38020,26,MID,62,L,I,NE 65th St,18th Ave NE,FS,S,SEA,26,1643,0.2,4.1,0.1,2.4,6.9
222,151,36931,27,MID,62,L,I,NE 65th St,14th Ave NE,FS,S,SEA,26,1641,0.2,6.2,0.6,15.2,6.6
222,151,36940,28,MID,62,L,I,NE 65th St,12th Ave NE,FS,S,SEA,25,1578,1.7,42.2,2.9,71.9,5.4
222,151,36960,29,MID,62,L,I,NE 65th St,Oswego Pl NE,NS,S,SEA,25,1578,0.6,16.2,0.1,3.6,5.9
222,151,16515,30,MID,62,L,I,NE Ravenna Blvd,NE 68th St,FS,S,SEA,25,1577,0.1,2,0,1.2,5.9
222,151,16520,31,MID,62,L,I,NE Ravenna Blvd,NE 70th St,NS,S,SEA,25,1577,1.2,29.9,0.6,15.1,6.5
222,151,17170,32,MID,62,L,I,Woodlawn Ave NE,5th Ave NE,FS,S,SEA,25,1576,0.6,15.7,0.2,3.8,7
222,151,17180,33,MID,62,L,I,Woodlawn Ave NE,1st Ave NE,FS,S,SEA,26,1640,0.2,6,0.1,3.7,7
222,151,17209,34,MID,62,L,I,Woodlawn Ave N,N 63rd St,FS,S,SEA,26,1641,0.3,6.5,0.1,2.8,7.2
222,151,17230,35,MID,62,L,I,Kirkwood Pl N,N 59th St,AT,S,SEA,26,1641,0.2,5,0.1,1.5,7.3
222,151,17250,36,MID,62,L,I,N 56th St,Keystone Pl N,NS,S,SEA,26,1640,0.4,11.6,0.3,7.1,7.5
222,151,17260,37,MID,62,L,I,Meridian Ave N,N 54th St,FS,S,SEA,26,1639,0.3,6.5,0.1,3.3,7.6
222,151,17285,38,MID,62,L,I,Meridian Ave N,N 48th St,NS,S,SEA,26,1638,0.3,7.9,0.1,2.9,7.8
222,151,17300,39,MID,62,L,I,Meridian Ave N,N 46th St,FS,S,SEA,26,1640,0.4,10.5,0.3,7.9,7.9
222,151,17310,40,MID,62,L,I,N 45th St,Wallingford Ave N,NS,S,SEA,27,1703,1.1,28.8,1,27.6,8
222,151,29530,41,MID,62,L,I,N 45th St,Woodlawn Ave N,FS,S,SEA,26,1640,0.7,17.9,0.4,9.5,8.4
222,151,7350,42,MID,62,L,I,Stone Way N,N 45th St,FS,S,SEA,26,1640,1,25.6,0.4,9.9,9
222,151,7360,43,MID,62,L,I,Stone Way N,N 43rd St,FS,S,SEA,26,1640,0.7,17.5,0.2,4.9,9.4
222,151,7380,44,MID,62,L,I,Stone Way N,N 40th St,FS,S,SEA,26,1640,0.9,23.7,0.3,7,10.1
222,151,7382,45,MID,62,L,I,Stone Way N,N 38th St,NS,S,SEA,26,1637,0.9,23,0.3,9,10.6
222,151,26480,46,MID,62,L,I,N 35th St,Stone Way N,FS,S,SEA,26,1639,1.3,34.8,0.7,17.3,11.3
222,151,26490,47,MID,62,L,I,N 35th St,Troll Ave N,FS,S,SEA,26,1639,0.2,5.3,0.4,9.7,11.1
222,151,26510,48,MID,62,L,I,Fremont Ave N,N 34th St,NS,S,SEA,26,1640,2.2,56.4,1.5,37.9,11.8
222,151,18260,49,MID,62,L,I,Dexter Ave N,4th Ave N,FS,S,SEA,27,1705,0.5,12.8,0.1,4,12.3
222,151,18270,50,MID,62,L,I,Dexter Ave N,Halladay St,NS,S,SEA,27,1704,0.2,4.4,0,0.5,12.5
222,151,18295,51,MID,62,L,I,Dexter Ave N,6th Ave N,FS,S,SEA,27,1704,0.6,16.8,0.1,3,13
222,151,18315,52,MID,62,L,I,Dexter Ave N,Crockett St,FS,S,SEA,27,1705,0.4,12.1,0.1,3,13.3
222,151,18320,53,MID,62,L,I,Dexter Ave N,Howe St,FS,S,SEA,27,1704,0.3,8.7,0.1,1.7,13.6
