SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
232,154,12690,1,AM,3,L,I,34th Ave,E Union St,FS,N,SEA,10,489,1.4,13.9,0,0,1.4
232,154,12700,2,AM,3,L,I,34th Ave,E Marion St,NS,N,SEA,10,487,1,9.6,0,0,2.4
232,154,12712,3,AM,3,L,I,34th Ave,E Cherry St,NS,N,SEA,10,489,0.3,2.5,0,0,2.6
232,154,12720,4,AM,3,L,I,E Cherry St,32nd Ave,FS,N,SEA,10,492,0.9,9,0.1,0.7,3.4
232,154,12740,5,AM,3,L,I,E Cherry St,Martin L King Jr Way,NS,N,SEA,10,492,1.5,14.6,0,0.2,4.9
232,154,12760,6,AM,3,L,I,E Cherry St,25th Ave,FS,N,SEA,10,492,0.5,4.8,0,0.2,5.3
232,154,13005,7,AM,3,L,I,21st Ave,E James St,FS,N,SEA,5,202,0.7,3.7,0,0,0.7
232,154,12770,8,AM,3,L,I,23rd Ave,E Cherry St,FS,N,SEA,15,730,0.9,13.7,0,0.2,4.7
232,154,12780,9,AM,3,L,I,E Jefferson St,23rd Ave,FS,N,SEA,15,731,1.7,24.8,0.1,1.3,6.2
232,154,12790,10,AM,3,L,I,E Jefferson St,21st Ave,FS,N,SEA,15,733,1.1,16.2,0,0.1,7.3
232,154,12805,11,AM,3,L,I,E Jefferson St,18th Ave,FS,N,SEA,15,729,1.4,21,0.6,8.8,8.1
232,154,12820,12,AM,3,L,I,E Jefferson St,15th Ave,FS,N,SEA,15,728,1.2,17.4,0.2,2.4,9.1
232,154,12840,13,AM,3,L,I,E Jefferson St,12th Ave,FS,N,SEA,15,734,3.3,49.3,0.2,2.3,12.2
232,154,12860,14,AM,3,L,I,Jefferson St,Broadway,FS,N,SEA,15,734,1.4,21.5,0.9,14,12.7
232,154,12880,15,AM,3,L,I,Jefferson St,9th Ave,NS,N,SEA,14,687,2.1,29.9,2.4,33.6,12.7
232,154,12890,16,AM,3,L,I,James St,8th Ave,NS,N,SEA,14,685,0.6,8.8,0.1,1.8,13.2
232,154,1540,17,AM,3,L,I,James St,5th Ave,NS,N,SEA,15,730,0.3,3.8,1.7,25.8,11.2
232,154,1530,18,AM,3,L,I,S Jackson St,5th Ave S,FS,N,SEA,2,95,2.3,4.6,0.1,0.1,2.3
