SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,I,XEV,2835,Colby Ave NB Station,Sunday,0.694,6.250,2.722,24.500,4.583
701,I,XEV,2838,Everett Station Bay G1,Sunday,0.000,0.000,4.583,41.250,0.000
701,I,XEV,2777,148th St SW NB Station,Sunday,2.250,22.500,1.625,16.250,12.125
701,I,XEV,2779,Lincoln Way NB Station,Sunday,1.139,10.250,1.250,11.250,13.583
701,I,XEV,2781,Airport Road NB Station,Sunday,4.056,36.500,5.583,50.250,12.778
701,I,XEV,2783,112th St SW NB Station,Sunday,1.000,9.000,1.250,11.250,12.528
701,I,XEV,2787,4th Ave W NB Station,Sunday,1.139,10.250,2.833,25.500,10.833
701,I,XEV,2795,Casino Rd NB Station,Sunday,1.861,16.750,3.833,34.500,8.861
701,I,XEV,2807,Madison St NB Station,Sunday,0.650,6.500,1.500,15.000,7.250
701,I,XEV,3313,Aurora Village Transit Center Bay 12,Sunday,5.775,57.750,0.600,6.000,8.675
701,I,XEV,2747,238th St SW NB Station,Sunday,1.778,16.000,1.139,10.250,10.000
701,I,XEV,2753,Gateway NB Station at 216th St SW,Sunday,1.750,15.750,1.361,12.250,10.389
701,I,XEV,2761,Heron NB Station at 200th St SW,Sunday,0.583,5.250,0.889,8.000,10.083
701,I,XEV,3247,196th St SW NB Station,Sunday,4.222,38.000,1.250,11.250,13.056
701,I,XEV,2767,Cherry Hill NB Station at 176th St SW,Sunday,1.333,12.000,1.139,10.250,13.250
701,I,XEV,3382,Shoreline North/185th Station Bay 1,Sunday,3.722,33.500,0.000,0.000,3.722
701,I,XNT,2835,Colby Ave NB Station,Sunday,0.000,0.000,2.500,7.500,1.417
701,I,XNT,2838,Everett Station Bay G1,Sunday,0.167,0.500,1.583,4.750,0.000
701,I,XNT,2779,Lincoln Way NB Station,Sunday,0.500,1.000,1.375,2.750,12.500
701,I,XNT,2781,Airport Road NB Station,Sunday,2.000,4.000,5.375,10.750,9.125
701,I,XNT,2783,112th St SW NB Station,Sunday,1.000,2.000,1.000,2.000,9.125
701,I,XNT,2787,4th Ave W NB Station,Sunday,1.250,2.500,1.750,3.500,8.625
701,I,XNT,2795,Casino Rd NB Station,Sunday,2.125,4.250,2.625,5.250,8.125
701,I,XNT,2807,Madison St NB Station,Sunday,0.667,2.000,1.917,5.750,4.250
701,I,XNT,2815,50th St NB Station,Sunday,0.417,1.250,0.750,2.250,3.917
701,I,XNT,2819,40th St NB Station,Sunday,0.083,0.250,0.833,2.500,3.333
701,I,XNT,2747,238th St SW NB Station,Sunday,0.750,0.750,0.500,0.500,6.000
701,I,XNT,2753,Gateway NB Station at 216th St SW,Sunday,2.500,2.500,0.500,0.500,8.000
701,I,XNT,2761,Heron NB Station at 200th St SW,Sunday,0.750,0.750,0.500,0.500,8.250
701,I,XNT,3247,196th St SW NB Station,Sunday,3.500,3.500,0.500,0.500,11.250
701,I,XNT,2767,Cherry Hill NB Station at 176th St SW,Sunday,1.250,1.250,1.250,1.250,11.250
701,I,XNT,2777,148th St SW NB Station,Sunday,3.000,6.000,1.500,3.000,12.125
701,O,AM,2838,Everett Station Bay G1,Sunday,5.500,55.000,0.000,0.000,5.500
701,O,AM,2836,Wetmore Ave SB Station,Sunday,2.575,25.750,0.350,3.500,7.575
701,O,AM,2820,41st St SB Station,Sunday,0.861,7.750,0.611,5.500,7.806
701,O,AM,2816,50th St SB Station,Sunday,1.111,10.000,0.861,7.750,8.056
701,O,AM,2810,Pecks Dr SB Station,Sunday,1.333,12.000,0.528,4.750,8.861
701,O,AM,2796,Casino Rd SB Station,Sunday,2.611,23.500,1.278,11.500,10.194
701,O,AM,2788,4th Ave W SB Station,Sunday,1.944,17.500,0.861,7.750,11.278
701,O,AM,2784,112th St SW SB Station,Sunday,1.556,14.000,0.972,8.750,11.861
701,O,AM,2782,Airport Road SB Station,Sunday,3.056,27.500,2.361,21.250,12.028
701,O,AM,2780,Lincoln Way SB Station,Sunday,1.031,8.250,0.719,5.750,12.281
701,O,AM,2778,148th St SW SB Station,Sunday,1.906,15.250,1.438,11.500,12.750
701,O,AM,2770,International SB Station at 174th Pl SW,Sunday,0.875,7.000,0.875,7.000,12.750
701,O,AM,2764,Crossroads SB Station at 196th St SW,Sunday,0.969,7.750,3.031,24.250,10.688
701,O,AM,2760,College SB Station at 204th St SW,Sunday,0.812,6.500,0.250,2.000,11.250
701,O,AM,2754,216th St SW SB Station,Sunday,1.188,9.500,2.000,16.000,10.438
701,O,AM,2748,238th St SW SB Station,Sunday,0.500,4.000,1.656,13.250,8.906
701,O,AM,2742,Aurora Village Transit Center Bay 9,Sunday,0.571,4.000,4.714,33.000,4.464
701,O,AM,3267,Shoreline North/185th Station Bay 2,Sunday,0.000,0.000,4.464,31.250,0.000
701,O,MID,2742,Aurora Village Transit Center Bay 9,Sunday,1.298,27.250,7.345,154.250,5.345
