DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2024,February,North,Northgate,1 Line,8641,132549,145,
2024,February,North,Roosevelt,1 Line,5587,52990,146,
2024,February,North,U District,1 Line,27617,76966,147,
2024,February,North,University of Washington,1 Line,24983,45739,148,
2024,February,North,Capitol Hill,1 Line,55887,64388,149,
2024,February,North,Westlake/Seattle,1 Line,74582,51565,150,
2024,February,North,University St,1 Line,34887,24554,151,
2024,February,North,Pioneer Square,1 Line,20548,14230,152,
2024,February,North,International District/Chinatown,1 Line,43912,18419,153,
2024,February,North,Stadium,1 Line,8921,7881,154,
2024,February,North,SODO,1 Line,14156,8324,155,
2024,February,North,Beacon Hill,1 Line,19761,11418,156,
2024,February,North,Mount Baker,1 Line,17289,10285,157,
2024,February,North,Columbia City,1 Line,19519,6592,158,
2024,February,North,Othello,1 Line,22600,8104,160,
2024,February,North,Rainier Beach,1 Line,15548,5492,161,
2024,February,North,Tukwila International Blvd,1 Line,25466,8458,163,
2024,February,North,SeaTac/Airport,1 Line,60801,10770,164,
2024,February,North,Angle Lake,1 Line,57477,117,165,
2024,February,South,Northgate,1 Line,133528,5,145,
2024,February,South,Roosevelt,1 Line,53512,5838,146,
2024,February,South,U District,1 Line,80628,28626,147,
2024,February,South,University of Washington,1 Line,52506,22888,148,
2024,February,South,Capitol Hill,1 Line,55039,64607,149,
2024,February,South,Westlake/Seattle,1 Line,56022,74721,150,
2024,February,South,University St,1 Line,25071,36575,151,
2024,February,South,Pioneer Square,1 Line,13786,20288,152,
2024,February,South,International District/Chinatown,1 Line,22236,44347,153,
2024,February,South,Stadium,1 Line,4452,10729,154,
2024,February,South,SODO,1 Line,8240,11994,155,
2024,February,South,Beacon Hill,1 Line,10436,23526,156,
2024,February,South,Mount Baker,1 Line,10769,17129,157,
2024,February,South,Columbia City,1 Line,6439,20154,158,
2024,February,South,Othello,1 Line,7840,23250,160,
2024,February,South,Rainier Beach,1 Line,5058,16399,161,
2024,February,South,Tukwila International Blvd,1 Line,7372,28149,163,
2024,February,South,SeaTac/Airport,1 Line,10933,57175,164,
2024,February,South,Angle Lake,1 Line,6787,65039,165,
