SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,I,AM,3222,Edmonds College Transit Center Station,Sunday,2.143,15.000,0.000,0.000,2.143
703,I,AM,3225,Hwy 99 EB Station,Sunday,2.000,14.000,0.107,0.750,4.036
703,I,AM,3227,Lynnwood City Center EB Station,Sunday,1.679,11.750,1.071,7.500,4.107
703,I,AM,3228,188th St SW EB Station,Sunday,0.125,0.750,1.750,10.500,3.000
703,I,AM,3229,180th Pl SW EB Station,Sunday,0.125,0.750,0.208,1.250,2.917
703,I,AM,3231,Swamp Creek Park & Ride EB Station,Sunday,1.000,6.000,0.125,0.750,3.792
703,I,AM,3239,Ash Way Park & Ride Station,Sunday,0.583,3.500,0.542,3.250,3.833
703,I,AM,3233,Larch Way EB Station,Sunday,0.375,2.250,0.167,1.000,3.792
703,I,AM,3234,North Rd EB Station,Sunday,0.167,1.000,0.167,1.000,3.542
703,I,AM,3029,164th St SE NB Station,Sunday,0.050,0.250,0.600,3.000,3.650
703,I,AM,3028,153rd St SE NB Station,Sunday,0.050,0.250,0.700,3.500,3.000
703,I,AM,3027,Trillium Blvd NB Station,Sunday,0.000,0.000,0.550,2.750,2.450
703,I,AM,3224,McCollum Park Park & Ride Station,Sunday,0.000,0.000,2.450,12.250,0.000
703,I,MID,3234,North Rd EB Station,Sunday,0.472,8.500,0.375,6.750,4.639
703,I,MID,3029,164th St SE NB Station,Sunday,0.333,6.000,1.264,22.750,3.722
703,I,MID,3028,153rd St SE NB Station,Sunday,0.139,2.500,0.792,14.250,3.069
703,I,MID,3027,Trillium Blvd NB Station,Sunday,0.042,0.750,0.458,8.250,2.653
703,I,MID,3224,McCollum Park Park & Ride Station,Sunday,0.014,0.250,2.667,48.000,0.000
703,I,MID,3227,Lynnwood City Center EB Station,Sunday,2.958,53.250,1.694,30.500,8.208
703,I,MID,3228,188th St SW EB Station,Sunday,0.889,16.000,4.486,80.750,4.667
703,I,MID,3229,180th Pl SW EB Station,Sunday,0.153,2.750,0.361,6.500,4.458
703,I,MID,3231,Swamp Creek Park & Ride EB Station,Sunday,0.639,11.500,0.389,7.000,4.708
703,I,MID,3239,Ash Way Park & Ride Station,Sunday,1.208,21.750,0.806,14.500,5.042
703,I,MID,3233,Larch Way EB Station,Sunday,0.347,6.250,0.847,15.250,4.458
703,I,MID,3222,Edmonds College Transit Center Station,Sunday,3.778,68.000,0.000,0.000,3.778
