DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2025,January,North,Lynnwood City Center,1 Line,4488,85015,140,
2025,January,North,Mountlake Terrace,1 Line,2840,24852,141,
2025,January,North,Shoreline North/185th,1 Line,1848,17427,142,
2025,January,North,Shoreline South/148th,1 Line,3381,18813,143,
2025,January,North,Northgate,1 Line,10114,59965,145,
2025,January,North,Roosevelt,1 Line,10567,50956,146,
2025,January,North,U District,1 Line,38692,77724,147,
2025,January,North,University of Washington,1 Line,33929,46972,148,
2025,January,North,Capitol Hill,1 Line,74242,60723,149,
2025,January,North,Westlake/Seattle,1 Line,89033,49219,150,
2025,January,North,Symphony,1 Line,33991,24102,151,
2025,January,North,Pioneer Square,1 Line,22412,14171,152,
2025,January,North,International District/Chinatown,1 Line,39769,15771,153,
2025,January,North,Stadium,1 Line,5585,3012,154,
2025,January,North,SODO,1 Line,13163,21678,155,
2025,January,North,Beacon Hill,1 Line,21982,13059,156,
2025,January,North,Mount Baker,1 Line,18514,11081,157,
2025,January,North,Columbia City,1 Line,17899,6266,158,
2025,January,North,Othello,1 Line,20642,7630,160,
2025,January,North,Rainier Beach,1 Line,13601,5569,161,
2025,January,North,Tukwila International Blvd,1 Line,29759,10763,163,
2025,January,North,SeaTac/Airport,1 Line,81494,9971,164,
2025,January,North,Angle Lake,1 Line,47291,196,165,
2025,January,South,Lynnwood City Center,1 Line,33084,445,140,
2025,January,South,Mountlake Terrace,1 Line,8474,934,141,
2025,January,South,Shoreline North/185th,1 Line,7057,912,142,
2025,January,South,Shoreline South/148th,1 Line,7400,1109,143,
2025,January,South,Northgate,1 Line,22036,3485,145,
2025,January,South,Roosevelt,1 Line,22386,5309,146,
2025,January,South,U District,1 Line,30391,15693,147,
2025,January,South,University of Washington,1 Line,18280,14061,148,
2025,January,South,Capitol Hill,1 Line,19373,37473,149,
2025,January,South,Westlake/Seattle,1 Line,16344,30935,150,
2025,January,South,Symphony,1 Line,7913,13500,151,
2025,January,South,Pioneer Square,1 Line,5270,9160,152,
2025,January,South,International District/Chinatown,1 Line,6391,12202,153,
2025,January,South,Stadium,1 Line,2237,3792,154,
2025,January,South,SODO,1 Line,12732,5607,155,
2025,January,South,Beacon Hill,1 Line,4696,9048,156,
2025,January,South,Mount Baker,1 Line,4676,7091,157,
2025,January,South,Columbia City,1 Line,2904,7993,158,
2025,January,South,Othello,1 Line,3438,8733,160,
2025,January,South,Rainier Beach,1 Line,2513,7107,161,
2025,January,South,Tukwila International Blvd,1 Line,4671,13890,163,
2025,January,South,SeaTac/Airport,1 Line,5187,27680,164,
