DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2024,July,East,Redmond Technology,2 Line,225,5261,263,
2024,July,East,Overlake Village,2 Line,254,1166,262,
2024,July,East,BelRed,2 Line,355,646,261,
2024,July,East,Spring District,2 Line,445,800,260,
2024,July,East,Wilburton,2 Line,588,586,259,
2024,July,East,Bellevue Downtown,2 Line,3077,868,258,
2024,July,East,East Main,2 Line,702,274,257,
2024,July,East,South Bellevue,2 Line,3932,87,256,
2024,July,West,Redmond Technology,2 Line,6003,49,263,
2024,July,West,Overlake Village,2 Line,1227,377,262,
2024,July,West,BelRed,2 Line,668,440,261,
2024,July,West,Spring District,2 Line,909,513,260,
2024,July,West,Wilburton,2 Line,718,631,259,
2024,July,West,Bellevue Downtown,2 Line,906,3565,258,
2024,July,West,East Main,2 Line,367,640,257,
2024,July,West,South Bellevue,2 Line,88,4421,256,
