DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2023,September,North,Northgate,1 Line,7459,119653,145,
2023,September,North,Roosevelt,1 Line,5090,49059,146,
2023,September,North,U District,1 Line,20641,65747,147,
2023,September,North,University of Washington,1 Line,21177,47708,148,
2023,September,North,Capitol Hill,1 Line,48574,63018,149,
2023,September,North,Westlake/Seattle,1 Line,74293,67378,150,
2023,September,North,University St,1 Line,30945,26892,151,
2023,September,North,Pioneer Square,1 Line,20506,16671,152,
2023,September,North,International District/Chinatown,1 Line,44623,22098,153,
2023,September,North,Stadium,1 Line,18645,19728,154,
2023,September,North,SODO,1 Line,14653,8202,155,
2023,September,North,Beacon Hill,1 Line,20990,9876,156,
2023,September,North,Mount Baker,1 Line,17203,9154,157,
2023,September,North,Columbia City,1 Line,19674,5698,158,
2023,September,North,Othello,1 Line,21320,7691,160,
2023,September,North,Rainier Beach,1 Line,15161,5519,161,
2023,September,North,Tukwila International Blvd,1 Line,27986,8426,163,
2023,September,North,SeaTac/Airport,1 Line,80329,11180,164,
2023,September,North,Angle Lake,1 Line,54744,141,165,
2023,September,South,Northgate,1 Line,144821,165,145,
2023,September,South,Roosevelt,1 Line,56453,5398,146,
2023,September,South,U District,1 Line,73355,23180,147,
2023,September,South,University of Washington,1 Line,48654,25060,148,
2023,September,South,Capitol Hill,1 Line,56805,57869,149,
2023,September,South,Westlake/Seattle,1 Line,72317,78329,150,
2023,September,South,University St,1 Line,27654,33136,151,
2023,September,South,Pioneer Square,1 Line,16387,23367,152,
2023,September,South,International District/Chinatown,1 Line,26520,53626,153,
2023,September,South,Stadium,1 Line,16221,35324,154,
2023,September,South,SODO,1 Line,8479,12059,155,
2023,September,South,Beacon Hill,1 Line,10162,23638,156,
2023,September,South,Mount Baker,1 Line,10599,17137,157,
2023,September,South,Columbia City,1 Line,6334,19267,158,
2023,September,South,Othello,1 Line,8063,21202,160,
2023,September,South,Rainier Beach,1 Line,4999,14814,161,
2023,September,South,Tukwila International Blvd,1 Line,8454,31046,163,
2023,September,South,SeaTac/Airport,1 Line,12608,81655,164,
2023,September,South,Angle Lake,1 Line,5859,58936,165,
