SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,I,XNT,3029,164th St SE NB Station,Saturday,0.200,0.600,1.400,4.200,2.333
703,I,XNT,3028,153rd St SE NB Station,Saturday,0.000,0.000,0.067,0.200,2.267
703,I,XNT,3027,Trillium Blvd NB Station,Saturday,0.200,0.600,0.400,1.200,2.067
703,I,XNT,3224,McCollum Park Park & Ride Station,Saturday,0.000,0.000,1.550,6.200,0.000
703,I,XNT,3227,Lynnwood City Center EB Station,Saturday,1.600,3.200,0.700,1.400,3.300
703,I,XNT,3228,188th St SW EB Station,Saturday,1.000,2.000,0.500,1.000,3.800
703,I,XNT,3229,180th Pl SW EB Station,Saturday,0.000,0.000,0.200,0.400,3.600
703,I,XNT,3231,Swamp Creek Park & Ride EB Station,Saturday,0.500,1.000,1.400,2.800,2.700
703,I,XNT,3222,Edmonds College Transit Center Station,Saturday,1.000,1.000,0.000,0.000,1.000
703,I,XNT,3225,Hwy 99 EB Station,Saturday,1.200,1.200,0.000,0.000,2.200
703,O,AM,3224,McCollum Park Park & Ride Station,Saturday,0.933,11.200,0.000,0.000,0.933
703,O,AM,3046,Trillium Blvd SB Station,Saturday,0.364,4.000,0.036,0.400,1.291
703,O,AM,3047,153rd St SE SB Station,Saturday,0.382,4.200,0.000,0.000,1.673
703,O,AM,3236,Mill Creek Blvd WB Station,Saturday,0.545,6.000,0.164,1.800,2.055
703,O,AM,3237,North Rd WB Station,Saturday,0.418,4.600,0.073,0.800,2.400
703,O,AM,3238,Larch Way WB Station,Saturday,1.055,11.600,0.200,2.200,3.255
703,O,AM,3239,Ash Way Park & Ride Station,Saturday,0.600,6.600,0.836,9.200,2.909
703,O,AM,3240,Swamp Creek Park & Ride WB Station,Saturday,0.340,3.400,0.220,2.200,3.120
703,O,AM,3242,180th Pl SW WB Station,Saturday,0.460,4.600,0.080,0.800,3.500
703,O,AM,3243,188th St SW WB Station,Saturday,0.500,5.000,0.700,7.000,3.300
703,O,AM,3244,Lynnwood City Center WB Station,Saturday,1.640,16.400,1.120,11.200,3.580
703,O,AM,3246,Hwy 99 WB Station,Saturday,0.022,0.200,1.733,15.600,2.133
703,O,AM,3222,Edmonds College Transit Center Station,Saturday,0.000,0.000,2.133,19.200,0.000
703,O,MID,3246,Hwy 99 WB Station,Saturday,0.250,6.000,2.567,61.600,2.483
703,O,MID,3222,Edmonds College Transit Center Station,Saturday,0.017,0.400,2.500,60.000,0.000
703,O,MID,3240,Swamp Creek Park & Ride WB Station,Saturday,0.840,21.000,0.720,18.000,5.520
703,O,MID,3242,180th Pl SW WB Station,Saturday,0.500,12.000,0.225,5.400,5.892
703,O,MID,3243,188th St SW WB Station,Saturday,2.133,51.200,2.308,55.400,5.717
703,O,MID,3244,Lynnwood City Center WB Station,Saturday,1.936,48.400,2.560,64.000,4.704
703,O,MID,3046,Trillium Blvd SB Station,Saturday,0.680,17.000,0.016,0.400,2.560
703,O,MID,3047,153rd St SE SB Station,Saturday,0.912,22.800,0.072,1.800,3.400
703,O,MID,3236,Mill Creek Blvd WB Station,Saturday,1.400,33.600,0.242,5.800,4.500
703,O,MID,3237,North Rd WB Station,Saturday,0.800,19.200,0.367,8.800,4.933
703,O,MID,3238,Larch Way WB Station,Saturday,0.950,22.800,0.583,14.000,5.300
703,O,MID,3239,Ash Way Park & Ride Station,Saturday,1.392,34.800,1.160,29.000,5.368
703,O,MID,3224,McCollum Park Park & Ride Station,Saturday,1.950,46.800,0.000,0.000,1.950
703,O,PM,3244,Lynnwood City Center WB Station,Saturday,2.129,36.200,4.306,73.200,7.576
703,O,PM,3246,Hwy 99 WB Station,Saturday,0.537,8.600,3.913,62.600,4.850
703,O,PM,3222,Edmonds College Transit Center Station,Saturday,0.000,0.000,4.763,76.200,0.000
703,O,PM,3242,180th Pl SW WB Station,Saturday,0.350,5.600,0.188,3.000,6.025
703,O,PM,3243,188th St SW WB Station,Saturday,6.237,99.800,1.837,29.400,10.425
703,O,PM,3236,Mill Creek Blvd WB Station,Saturday,1.925,30.800,0.188,3.000,5.737
703,O,PM,3237,North Rd WB Station,Saturday,0.487,7.800,0.425,6.800,5.800
703,O,PM,3238,Larch Way WB Station,Saturday,1.212,19.400,0.975,15.600,5.912
703,O,PM,3239,Ash Way Park & Ride Station,Saturday,1.075,17.200,1.087,17.400,6.025
703,O,PM,3240,Swamp Creek Park & Ride WB Station,Saturday,0.733,11.000,0.880,13.200,5.960
703,O,PM,3224,McCollum Park Park & Ride Station,Saturday,2.275,36.400,0.000,0.000,2.275
703,O,PM,3046,Trillium Blvd SB Station,Saturday,0.840,12.600,0.120,1.800,3.080
703,O,PM,3047,153rd St SE SB Station,Saturday,1.027,15.400,0.160,2.400,3.947
703,O,XEV,3244,Lynnwood City Center WB Station,Saturday,1.450,17.400,3.617,43.400,5.450
703,O,XEV,3246,Hwy 99 WB Station,Saturday,0.218,2.400,3.309,36.400,2.873
703,O,XEV,3222,Edmonds College Transit Center Station,Saturday,0.000,0.000,2.750,33.000,0.000
