service_id,date,exception_type
59489,20230704,2
59489,20230627,1
59489,20230829,1
59489,20230620,1
59489,20230815,1
59489,20230822,1
59489,20230613,1
59489,20230808,1
59489,20230801,1
59489,20230718,1
59489,20230725,1
59489,20230711,1
57625,20230619,2
57625,20230814,1
57625,20230821,1
57625,20230612,1
57625,20230807,1
57625,20230731,1
57625,20230717,1
57625,20230724,1
57625,20230710,1
57625,20230626,1
57625,20230703,1
57625,20230828,1
57625,20230704,2
57625,20230627,1
57625,20230829,1
57625,20230620,1
57625,20230815,1
57625,20230822,1
57625,20230613,1
57625,20230808,1
57625,20230801,1
57625,20230718,1
57625,20230725,1
57625,20230711,1
53975,20230619,2
53975,20230814,1
53975,20230821,1
53975,20230612,1
53975,20230807,1
53975,20230731,1
53975,20230717,1
53975,20230724,1
53975,20230710,1
53975,20230626,1
53975,20230703,1
53975,20230828,1
53975,20230704,2
53975,20230627,1
53975,20230829,1
53975,20230620,1
53975,20230815,1
53975,20230822,1
53975,20230613,1
53975,20230808,1
53975,20230801,1
53975,20230718,1
53975,20230725,1
53975,20230711,1
53975,20230621,2
53975,20230614,2
53975,20230726,1
53975,20230712,1
53975,20230705,1
53975,20230830,1
53975,20230628,1
53975,20230816,1
53975,20230823,1
53975,20230809,1
53975,20230802,1
53975,20230719,1
53975,20230623,2
53975,20230630,1
53975,20230825,1
53975,20230616,1
53975,20230811,1
53975,20230818,1
53975,20230804,1
53975,20230721,1
53975,20230728,1
53975,20230714,1
53975,20230707,1
53975,20230901,1
46077,20230619,2
46077,20230814,1
46077,20230821,1
46077,20230612,1
46077,20230807,1
46077,20230731,1
46077,20230717,1
46077,20230724,1
46077,20230710,1
46077,20230626,1
46077,20230703,1
46077,20230828,1
46077,20230704,2
46077,20230627,1
46077,20230829,1
46077,20230620,1
46077,20230815,1
46077,20230822,1
46077,20230613,1
46077,20230808,1
46077,20230801,1
46077,20230718,1
46077,20230725,1
46077,20230711,1
29950,20230731,2
29950,20230717,2
29950,20230724,2
29950,20230710,2
29950,20230626,2
29950,20230703,2
29950,20230612,1
29950,20230828,1
29950,20230821,1
29950,20230814,1
29950,20230807,1
29950,20230619,1
29950,20230627,2
29950,20230704,2
29950,20230801,2
29950,20230718,2
29950,20230725,2
29950,20230711,2
29950,20230822,1
29950,20230815,1
29950,20230808,1
29950,20230620,1
29950,20230613,1
29950,20230829,1
29950,20230726,2
29950,20230712,2
29950,20230705,2
29950,20230628,2
29950,20230802,2
29950,20230719,2
29950,20230614,1
29950,20230830,1
29950,20230823,1
29950,20230816,1
29950,20230809,1
29950,20230621,1
29950,20230803,2
29950,20230720,2
29950,20230727,2
29950,20230713,2
29950,20230706,2
29950,20230629,2
29950,20230831,1
29950,20230824,1
29950,20230817,1
29950,20230810,1
29950,20230622,1
29950,20230615,1
29950,20230630,2
29950,20230804,2
29950,20230721,2
29950,20230728,2
29950,20230714,2
29950,20230707,2
29950,20230811,1
29950,20230623,1
29950,20230616,1
29950,20230901,1
29950,20230825,1
29950,20230818,1
29539,20230704,2
29539,20230627,1
29539,20230801,1
29539,20230725,1
29539,20230718,1
29539,20230711,1
13286,20230627,2
13286,20230620,2
13286,20230815,2
13286,20230822,2
13286,20230613,2
13286,20230808,2
13286,20230801,2
13286,20230718,2
13286,20230725,2
13286,20230711,2
13286,20230704,1
11339,20230618,2
11339,20230730,1
11339,20230716,1
11339,20230723,1
11339,20230709,1
11339,20230625,1
11339,20230702,1
11339,20230827,1
11339,20230813,1
11339,20230820,1
11339,20230611,1
11339,20230806,1
11339,20230627,2
11339,20230620,2
11339,20230815,2
11339,20230822,2
11339,20230613,2
11339,20230808,2
11339,20230801,2
11339,20230718,2
11339,20230725,2
11339,20230711,2
11339,20230704,1
10255,20230617,2
10255,20230708,1
10255,20230624,1
10255,20230701,1
10255,20230826,1
10255,20230812,1
10255,20230819,1
10255,20230610,1
10255,20230805,1
10255,20230722,1
10255,20230729,1
10255,20230715,1
