service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
59885,1,1,1,1,1,0,0,20230612,20230901
59489,1,0,1,1,1,0,0,20230612,20230901
57625,0,0,1,1,1,0,0,20230612,20230901
53975,0,0,0,1,0,0,0,20230612,20230901
46077,0,0,1,1,0,0,0,20230612,20230831
29950,0,0,0,0,0,0,0,20230612,20230901
29539,1,0,1,1,1,0,0,20230626,20230804
13286,0,0,0,0,0,0,1,20230611,20230827
12890,0,0,0,0,0,0,1,20230611,20230827
11548,0,0,0,0,1,0,0,20230616,20230901
11339,0,0,0,0,0,0,0,20230611,20230827
10299,0,0,0,0,0,1,0,20230610,20230826
10255,0,0,0,0,0,0,0,20230610,20230826
2518,0,0,1,0,0,0,0,20230614,20230621
1947,0,0,0,0,0,0,1,20230618,20230618
1864,1,0,0,0,0,0,0,20230619,20230619
1132,0,0,0,0,1,0,0,20230623,20230623
44,0,0,0,0,0,1,0,20230617,20230617
