DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2025,May,,Marymoor Village,,1386,3306,264,
2025,May,West,Downtown Redmond,,12962,93,265,
2025,May,West,Marymoor Village,,3343,1614,264,
