service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
88759,1,1,1,1,1,0,0,20220207,20220610
85984,0,0,0,0,0,0,0,20220207,20220610
84622,0,1,1,0,0,0,0,20220207,20220610
82358,0,0,0,0,0,0,0,20220207,20220610
80611,0,1,0,0,0,0,0,20220207,20220610
62317,1,1,1,1,1,0,0,20220321,20220610
26442,1,1,1,1,1,0,0,20220207,20220318
25046,0,1,1,1,1,0,0,20220207,20220318
23667,0,0,0,0,0,0,0,20220207,20220318
22305,0,1,1,0,0,0,0,20220207,20220318
20041,0,0,0,0,0,0,0,20220207,20220318
18294,0,1,0,0,0,0,0,20220207,20220318
15832,0,0,0,0,0,0,1,20220213,20220605
15550,0,0,0,0,0,1,0,20220212,20220604
13652,0,0,0,0,0,1,0,20220319,20220604
10690,0,0,0,0,0,0,1,20220320,20220605
8148,0,0,1,0,0,0,0,20220209,20220316
6538,0,0,0,0,0,0,1,20220213,20220313
5142,0,0,0,0,0,0,1,20220213,20220313
4137,0,0,0,0,0,0,0,20220217,20220311
4011,0,0,1,0,0,0,0,20220209,20220316
3626,0,0,0,0,0,0,0,20220209,20220316
3294,0,0,0,0,0,1,0,20220212,20220312
2775,1,1,1,1,1,0,0,20220221,20220225
1898,0,0,0,0,0,1,0,20220212,20220312
