DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2023,December,North,Northgate,1 Line,9554,155770,145,
2023,December,North,Roosevelt,1 Line,6802,60318,146,
2023,December,North,U District,1 Line,26231,79121,147,
2023,December,North,University of Washington,1 Line,22220,46377,148,
2023,December,North,Capitol Hill,1 Line,57366,81860,149,
2023,December,North,Westlake/Seattle,1 Line,104062,73384,150,
2023,December,North,University St,1 Line,39385,32042,151,
2023,December,North,Pioneer Square,1 Line,23643,18626,152,
2023,December,North,International District/Chinatown,1 Line,54159,25496,153,
2023,December,North,Stadium,1 Line,9025,8122,154,
2023,December,North,SODO,1 Line,16854,9297,155,
2023,December,North,Beacon Hill,1 Line,24511,12178,156,
2023,December,North,Mount Baker,1 Line,20647,11580,157,
2023,December,North,Columbia City,1 Line,22452,7728,158,
2023,December,North,Othello,1 Line,25374,9769,160,
2023,December,North,Rainier Beach,1 Line,17026,6585,161,
2023,December,North,Tukwila International Blvd,1 Line,31063,10586,163,
2023,December,North,SeaTac/Airport,1 Line,84754,13791,164,
2023,December,North,Angle Lake,1 Line,66470,15,165,
2023,December,South,Northgate,1 Line,159495,10,145,
2023,December,South,Roosevelt,1 Line,63916,6856,146,
2023,December,South,U District,1 Line,89871,26823,147,
2023,December,South,University of Washington,1 Line,51360,21628,148,
2023,December,South,Capitol Hill,1 Line,69961,67660,149,
2023,December,South,Westlake/Seattle,1 Line,75468,106268,150,
2023,December,South,University St,1 Line,32483,41619,151,
2023,December,South,Pioneer Square,1 Line,16787,24165,152,
2023,December,South,International District/Chinatown,1 Line,27909,57986,153,
2023,December,South,Stadium,1 Line,6344,14421,154,
2023,December,South,SODO,1 Line,9268,13715,155,
2023,December,South,Beacon Hill,1 Line,11720,27399,156,
2023,December,South,Mount Baker,1 Line,11924,19601,157,
2023,December,South,Columbia City,1 Line,7535,22159,158,
2023,December,South,Othello,1 Line,9924,25410,160,
2023,December,South,Rainier Beach,1 Line,6260,17587,161,
2023,December,South,Tukwila International Blvd,1 Line,9642,33626,163,
2023,December,South,SeaTac/Airport,1 Line,14809,82931,164,
2023,December,South,Angle Lake,1 Line,8632,74168,165,
