SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,I,PM,3225,Hwy 99 EB Station,Weekday,1,3.853,89.905,0.984,22.952,8.561
703,I,XEV,3224,McCollum Park Park & Ride Bay 4,Weekday,12,0.000,0.000,1.724,19.952,-0.037
703,I,XEV,3029,164th St SE NB Station,Weekday,9,0.305,3.286,1.872,20.143,2.527
703,I,XEV,3028,153rd St SE NB Station,Weekday,10,0.144,1.571,0.415,4.524,2.249
703,I,XEV,3027,Trillium Blvd NB Station,Weekday,11,0.064,0.714,0.577,6.429,1.718
703,I,XEV,3233,Larch Way EB Station,Weekday,7,0.385,4.048,1.285,13.524,4.548
703,I,XEV,3234,North Rd EB Station,Weekday,8,0.120,1.238,0.509,5.238,4.176
703,I,XEV,3229,180th Pl SW EB Station,Weekday,4,0.117,1.143,0.893,8.714,7.522
703,I,XEV,3231,Swamp Creek Park & Ride EB Station,Weekday,5,0.541,5.381,1.258,12.524,6.761
703,I,XEV,3239,Ash Way Park & Ride Bay 5,Weekday,6,0.488,4.952,1.662,16.857,5.592
703,I,XEV,3225,Hwy 99 EB Station,Weekday,1,3.047,27.714,0.576,5.238,5.901
703,I,XEV,3227,Lynnwood City Center Station Bay D5,Weekday,2,4.707,41.238,2.614,22.905,8.255
703,I,XEV,3228,188th St SW EB Station,Weekday,3,1.953,17.857,1.932,17.667,8.339
703,I,XEV,3222,Edmonds College Transit Center Bay 5,Weekday,0,3.460,31.143,0.000,0.000,3.460
703,O,XNT,3224,McCollum Park Park & Ride Bay 4,Weekday,0,0.895,7.714,0.000,0.000,0.895
703,O,XNT,3046,Trillium Blvd SB Station,Weekday,1,0.211,1.810,0.011,0.095,1.083
703,O,XNT,3047,153rd St SE SB Station,Weekday,2,0.550,4.714,0.006,0.048,1.628
703,O,XNT,3236,Mill Creek Blvd WB Station,Weekday,3,1.133,9.762,0.138,1.190,2.641
703,O,XNT,3237,North Rd WB Station,Weekday,4,0.285,2.714,0.145,1.381,2.845
703,O,XNT,3238,Larch Way WB Station,Weekday,5,0.565,5.381,0.185,1.762,3.225
703,O,XNT,3239,Ash Way Park & Ride Bay 5,Weekday,6,0.511,4.429,0.313,2.714,3.374
703,O,XNT,3240,Swamp Creek Park & Ride WB Station,Weekday,7,0.445,3.857,0.500,4.333,3.319
703,O,XNT,3242,180th Pl SW WB Station,Weekday,8,0.143,1.238,0.038,0.333,3.423
703,O,XNT,3243,188th St SW WB Station,Weekday,9,1.269,11.000,0.203,1.762,4.489
703,O,XNT,3244,Lynnwood City Center Station Bay C5,Weekday,10,1.394,11.619,2.314,19.286,3.771
703,O,XNT,3246,Hwy 99 WB Station,Weekday,11,0.236,2.048,1.786,15.476,2.429
703,O,XNT,3222,Edmonds College Transit Center Bay 5,Weekday,12,0.000,0.000,2.429,21.048,0.000
703,O,AM,3244,Lynnwood City Center Station Bay C5,Weekday,10,2.234,47.238,4.709,99.571,4.514
703,O,AM,3246,Hwy 99 WB Station,Weekday,11,0.242,5.143,1.386,29.429,3.244
703,O,AM,3222,Edmonds College Transit Center Bay 5,Weekday,12,0.000,0.000,3.182,66.524,0.000
703,O,AM,3239,Ash Way Park & Ride Bay 5,Weekday,6,0.862,19.095,0.437,9.667,5.359
703,O,AM,3240,Swamp Creek Park & Ride WB Station,Weekday,7,1.570,33.571,0.258,5.524,6.592
703,O,AM,3242,180th Pl SW WB Station,Weekday,8,0.601,12.762,0.076,1.619,7.114
703,O,AM,3243,188th St SW WB Station,Weekday,9,0.578,12.238,0.422,8.952,7.247
703,O,AM,3224,McCollum Park Park & Ride Bay 4,Weekday,0,0.912,21.333,0.000,0.000,0.912
703,O,AM,3046,Trillium Blvd SB Station,Weekday,1,0.367,8.190,0.011,0.238,1.243
703,O,AM,3047,153rd St SE SB Station,Weekday,2,0.893,19.952,0.028,0.619,2.109
703,O,AM,3236,Mill Creek Blvd WB Station,Weekday,3,1.202,26.905,0.074,1.667,3.232
703,O,AM,3237,North Rd WB Station,Weekday,4,0.783,17.190,0.085,1.857,3.935
703,O,AM,3238,Larch Way WB Station,Weekday,5,1.243,26.571,0.234,5.000,4.980
703,O,MID,3222,Edmonds College Transit Center Bay 5,Weekday,12,0.000,0.000,4.689,163.667,0.000
703,O,MID,3244,Lynnwood City Center Station Bay C5,Weekday,10,3.299,115.952,3.205,112.619,6.814
703,O,MID,3246,Hwy 99 WB Station,Weekday,11,0.566,19.810,2.796,97.857,4.620
703,O,MID,3239,Ash Way Park & Ride Bay 5,Weekday,6,1.115,39.238,0.633,22.286,5.261
703,O,MID,3240,Swamp Creek Park & Ride WB Station,Weekday,7,1.040,37.095,0.459,16.381,5.864
703,O,MID,3242,180th Pl SW WB Station,Weekday,8,0.577,20.429,0.234,8.286,6.211
703,O,MID,3243,188th St SW WB Station,Weekday,9,1.779,62.429,1.383,48.524,6.628
703,O,MID,3237,North Rd WB Station,Weekday,4,0.795,28.095,0.291,10.286,4.327
703,O,MID,3238,Larch Way WB Station,Weekday,5,0.878,31.476,0.384,13.762,4.793
703,O,MID,3046,Trillium Blvd SB Station,Weekday,1,0.972,34.714,0.044,1.571,2.337
703,O,MID,3047,153rd St SE SB Station,Weekday,2,0.803,28.143,0.257,9.000,2.872
703,O,MID,3236,Mill Creek Blvd WB Station,Weekday,3,1.289,45.190,0.327,11.476,3.834
703,O,MID,3224,McCollum Park Park & Ride Bay 4,Weekday,0,1.403,49.429,0.000,0.000,1.403
703,O,PM,3222,Edmonds College Transit Center Bay 5,Weekday,12,0.006,0.143,4.010,95.476,0.000
703,O,PM,3243,188th St SW WB Station,Weekday,9,4.335,101.571,1.386,32.476,8.362
703,O,PM,3244,Lynnwood City Center Station Bay C5,Weekday,10,3.717,87.429,4.609,108.429,7.427
703,O,PM,3246,Hwy 99 WB Station,Weekday,11,0.753,17.667,4.146,97.333,4.043
