service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
57752,1,1,1,1,1,0,0,20240108,20240329
55407,0,1,1,1,1,0,0,20240108,20240329
52882,0,1,1,0,0,0,0,20240108,20240329
50758,0,0,0,0,0,0,0,20240108,20240329
49237,0,0,0,0,0,0,0,20240108,20240329
42956,0,1,0,0,0,0,0,20240108,20240329
14796,0,0,1,0,0,0,0,20240110,20240327
14090,0,0,0,0,0,1,0,20240113,20240323
13250,0,0,0,0,0,0,1,20240114,20240324
11745,0,0,0,0,0,1,0,20240113,20240323
10905,0,0,0,0,0,0,1,20240114,20240324
10607,0,0,0,0,0,1,0,20240120,20240323
9926,0,0,1,0,0,0,0,20240110,20240327
9519,0,0,0,0,0,0,1,20240121,20240324
8515,0,0,0,0,0,0,0,20240115,20240322
6994,0,0,0,0,0,0,0,20240115,20240223
4870,0,0,0,0,0,0,0,20240115,20240308
1386,0,0,0,0,0,0,1,20240114,20240114
1138,0,0,0,0,0,1,0,20240113,20240113
