service_id,date,exception_type
55407,20240219,2
55407,20240115,2
55407,20240205,1
55407,20240212,1
55407,20240129,1
55407,20240122,1
55407,20240325,1
55407,20240108,1
55407,20240318,1
55407,20240311,1
55407,20240226,1
55407,20240304,1
52882,20240219,2
52882,20240115,2
52882,20240205,1
52882,20240212,1
52882,20240129,1
52882,20240122,1
52882,20240325,1
52882,20240108,1
52882,20240318,1
52882,20240311,1
52882,20240226,1
52882,20240304,1
52882,20240215,2
52882,20240201,1
52882,20240208,1
52882,20240125,1
52882,20240111,1
52882,20240118,1
52882,20240321,1
52882,20240328,1
52882,20240314,1
52882,20240229,1
52882,20240307,1
52882,20240222,1
52882,20240308,2
52882,20240216,2
52882,20240223,1
52882,20240202,1
52882,20240209,1
52882,20240126,1
52882,20240112,1
52882,20240119,1
52882,20240322,1
52882,20240329,1
52882,20240315,1
52882,20240301,1
50758,20240219,2
50758,20240122,2
50758,20240115,2
50758,20240205,1
50758,20240212,1
50758,20240129,1
50758,20240325,1
50758,20240108,1
50758,20240318,1
50758,20240311,1
50758,20240226,1
50758,20240304,1
50758,20240220,2
50758,20240319,1
50758,20240312,1
50758,20240227,1
50758,20240305,1
50758,20240206,1
50758,20240213,1
50758,20240130,1
50758,20240123,1
50758,20240326,1
50758,20240109,1
50758,20240116,1
50758,20240221,2
50758,20240124,1
50758,20240327,1
50758,20240110,1
50758,20240117,1
50758,20240320,1
50758,20240313,1
50758,20240228,1
50758,20240306,1
50758,20240214,1
50758,20240131,1
50758,20240207,1
50758,20240222,2
50758,20240215,1
50758,20240201,1
50758,20240208,1
50758,20240125,1
50758,20240111,1
50758,20240118,1
50758,20240321,1
50758,20240328,1
50758,20240314,1
50758,20240229,1
50758,20240307,1
50758,20240223,2
50758,20240308,1
50758,20240216,1
50758,20240202,1
50758,20240209,1
50758,20240126,1
50758,20240112,1
50758,20240119,1
50758,20240322,1
50758,20240329,1
50758,20240315,1
50758,20240301,1
49237,20240219,2
49237,20240122,2
49237,20240115,2
49237,20240205,1
49237,20240212,1
49237,20240129,1
49237,20240325,1
49237,20240108,1
49237,20240318,1
49237,20240311,1
49237,20240226,1
49237,20240304,1
49237,20240220,2
49237,20240319,1
49237,20240312,1
49237,20240227,1
49237,20240305,1
49237,20240206,1
49237,20240213,1
49237,20240130,1
49237,20240123,1
49237,20240326,1
49237,20240109,1
49237,20240116,1
49237,20240221,2
49237,20240124,1
49237,20240327,1
49237,20240110,1
49237,20240117,1
49237,20240320,1
49237,20240313,1
49237,20240228,1
49237,20240306,1
49237,20240214,1
49237,20240131,1
49237,20240207,1
49237,20240222,2
49237,20240215,1
49237,20240201,1
49237,20240208,1
49237,20240125,1
49237,20240111,1
49237,20240118,1
49237,20240321,1
49237,20240328,1
49237,20240314,1
49237,20240229,1
49237,20240307,1
49237,20240223,2
49237,20240209,2
49237,20240322,2
49237,20240308,1
49237,20240216,1
49237,20240202,1
49237,20240126,1
49237,20240112,1
49237,20240119,1
49237,20240329,1
49237,20240315,1
49237,20240301,1
42956,20240219,2
42956,20240115,2
42956,20240205,1
42956,20240212,1
42956,20240129,1
42956,20240122,1
42956,20240325,1
42956,20240108,1
42956,20240318,1
42956,20240311,1
42956,20240226,1
42956,20240304,1
42956,20240215,2
42956,20240201,1
42956,20240208,1
42956,20240125,1
42956,20240111,1
42956,20240118,1
42956,20240321,1
42956,20240328,1
42956,20240314,1
42956,20240229,1
42956,20240307,1
42956,20240222,1
42956,20240308,2
42956,20240216,2
42956,20240223,1
42956,20240202,1
42956,20240209,1
42956,20240126,1
42956,20240112,1
42956,20240119,1
42956,20240322,1
42956,20240329,1
42956,20240315,1
42956,20240301,1
14796,20240205,2
14796,20240212,2
14796,20240129,2
14796,20240122,2
14796,20240325,2
14796,20240318,2
14796,20240311,2
14796,20240226,2
14796,20240304,2
14796,20240115,1
14796,20240219,1
14796,20240201,2
14796,20240208,2
14796,20240125,2
14796,20240111,2
14796,20240118,2
14796,20240321,2
14796,20240314,2
14796,20240229,2
14796,20240307,2
14796,20240222,2
14796,20240215,1
14796,20240223,2
14796,20240202,2
14796,20240209,2
14796,20240126,2
14796,20240112,2
14796,20240119,2
14796,20240322,2
14796,20240315,2
14796,20240301,2
14796,20240308,1
14796,20240216,1
14090,20240205,2
14090,20240212,2
14090,20240129,2
14090,20240122,2
14090,20240318,2
14090,20240311,2
14090,20240226,2
14090,20240304,2
14090,20240115,1
14090,20240219,1
13250,20240205,2
13250,20240212,2
13250,20240129,2
13250,20240122,2
13250,20240318,2
13250,20240311,2
13250,20240226,2
13250,20240304,2
13250,20240115,1
13250,20240219,1
8515,20240205,2
8515,20240212,2
8515,20240129,2
8515,20240318,2
8515,20240311,2
8515,20240226,2
8515,20240304,2
8515,20240115,1
8515,20240219,1
8515,20240122,1
8515,20240319,2
8515,20240312,2
8515,20240227,2
8515,20240305,2
8515,20240206,2
8515,20240213,2
8515,20240130,2
8515,20240123,2
8515,20240116,2
8515,20240220,1
8515,20240124,2
8515,20240117,2
8515,20240320,2
8515,20240313,2
8515,20240228,2
8515,20240306,2
8515,20240214,2
8515,20240131,2
8515,20240207,2
8515,20240221,1
8515,20240215,2
8515,20240201,2
8515,20240208,2
8515,20240125,2
8515,20240118,2
8515,20240321,2
8515,20240314,2
8515,20240229,2
8515,20240307,2
8515,20240222,1
8515,20240308,2
8515,20240216,2
8515,20240202,2
8515,20240126,2
8515,20240119,2
8515,20240315,2
8515,20240301,2
8515,20240322,1
8515,20240223,1
8515,20240209,1
6994,20240212,2
6994,20240205,2
6994,20240129,2
6994,20240115,1
6994,20240219,1
6994,20240122,1
6994,20240213,2
6994,20240206,2
6994,20240130,2
6994,20240123,2
6994,20240116,2
6994,20240220,1
6994,20240117,2
6994,20240214,2
6994,20240207,2
6994,20240131,2
6994,20240124,2
6994,20240221,1
6994,20240215,2
6994,20240208,2
6994,20240201,2
6994,20240125,2
6994,20240118,2
6994,20240222,1
6994,20240126,2
6994,20240119,2
6994,20240216,2
6994,20240209,2
6994,20240202,2
6994,20240223,1
4870,20240304,2
4870,20240226,2
4870,20240212,2
4870,20240205,2
4870,20240129,2
4870,20240122,2
4870,20240115,1
4870,20240219,1
4870,20240208,2
4870,20240201,2
4870,20240125,2
4870,20240307,2
4870,20240118,2
4870,20240229,2
4870,20240222,2
4870,20240215,1
4870,20240126,2
4870,20240119,2
4870,20240301,2
4870,20240223,2
4870,20240209,2
4870,20240202,2
4870,20240308,1
4870,20240216,1
