SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
702,I,PM,3017,Seaway Transit Center Bay 13,Weekday,0.015,0.571,0.787,29.905,0.000
702,I,PM,3022,Gibson Rd NB Station,Weekday,0.309,11.429,0.695,25.714,4.063
702,I,PM,3021,Hwy 99 NB Station,Weekday,0.291,10.762,2.956,109.381,1.408
702,I,PM,3020,112th St SW NB Station,Weekday,0.033,1.238,0.224,8.524,1.185
702,I,PM,3027,Trillium Blvd NB Station,Weekday,0.172,6.381,0.421,15.571,3.745
702,I,PM,3026,16th Ave SE NB Station,Weekday,1.053,38.952,0.878,32.476,3.956
702,I,PM,3025,Dumas Rd NB Station,Weekday,0.270,9.714,0.202,7.286,4.140
702,I,PM,3024,3rd Ave SE NB Station,Weekday,0.338,12.524,0.302,11.190,4.053
702,I,PM,3023,4th Ave W NB Station,Weekday,1.596,59.048,1.283,47.476,4.391
702,I,PM,3030,180th St SE NB Station,Weekday,0.921,33.143,0.521,18.762,4.446
702,I,PM,3029,164th St SE NB Station,Weekday,0.843,30.333,1.036,37.286,4.216
702,I,PM,3028,153rd St SE NB Station,Weekday,0.472,17.000,0.548,19.714,4.099
702,I,PM,3035,Canyon Park Park & Ride Bay 6,Weekday,3.160,113.762,0.000,0.000,3.160
702,I,PM,3033,220th St SE NB Station,Weekday,0.404,14.143,0.011,0.381,3.688
702,I,PM,3032,208th St SE NB Station,Weekday,1.151,41.429,0.582,20.952,4.148
702,I,PM,3031,196th St SE NB Station,Weekday,0.411,14.810,0.562,20.238,3.983
702,I,XEV,3019,100th St SW NB Station,Weekday,0.015,0.286,0.105,2.000,0.739
702,I,XEV,3018,Kasch Park Rd NB Station,Weekday,0.005,0.095,0.185,3.524,0.554
702,I,XEV,3017,Seaway Transit Center Bay 13,Weekday,0.015,0.286,0.556,10.571,-0.010
702,I,XEV,3023,4th Ave W NB Station,Weekday,1.569,28.238,1.601,28.810,4.265
702,I,XEV,3022,Gibson Rd NB Station,Weekday,0.217,3.905,0.693,12.476,3.820
702,I,XEV,3021,Hwy 99 NB Station,Weekday,0.317,5.714,3.026,54.476,1.169
702,I,XEV,3020,112th St SW NB Station,Weekday,0.029,0.524,0.333,6.000,0.865
702,I,XEV,3029,164th St SE NB Station,Weekday,0.790,13.429,0.504,8.571,3.768
702,I,XEV,3028,153rd St SE NB Station,Weekday,0.387,6.571,0.246,4.190,3.944
702,I,XEV,3027,Trillium Blvd NB Station,Weekday,0.143,2.429,0.238,4.048,3.773
702,I,XEV,3026,16th Ave SE NB Station,Weekday,1.204,21.667,0.606,10.905,3.902
702,I,XEV,3025,Dumas Rd NB Station,Weekday,0.317,5.714,0.119,2.143,4.151
702,I,XEV,3024,3rd Ave SE NB Station,Weekday,0.259,4.667,0.280,5.048,4.196
702,I,XEV,3035,Canyon Park Park & Ride Bay 6,Weekday,2.036,32.571,0.000,0.000,2.036
702,I,XEV,3033,220th St SE NB Station,Weekday,0.277,4.429,0.021,0.333,2.280
702,I,XEV,3032,208th St SE NB Station,Weekday,1.252,21.286,0.263,4.476,3.151
702,I,XEV,3031,196th St SE NB Station,Weekday,0.364,6.190,0.300,5.095,3.261
702,I,XEV,3030,180th St SE NB Station,Weekday,0.459,7.810,0.336,5.714,3.415
702,O,XNT,3017,Seaway Transit Center Bay 13,Weekday,1.163,8.143,0.000,0.000,1.163
702,O,XNT,3037,Kasch Park Rd SB Station,Weekday,0.435,3.048,0.007,0.048,1.578
702,O,XNT,3038,100th St SW SB Station,Weekday,0.075,0.524,0.041,0.286,1.599
702,O,XNT,3039,112th St SW SB Station,Weekday,0.156,1.095,0.007,0.048,1.619
702,O,XNT,3040,Hwy 99 SB Station,Weekday,3.156,22.095,0.544,3.810,4.184
702,O,XNT,3041,Gibson Rd SB Station,Weekday,0.405,2.429,0.532,3.190,4.714
702,O,XNT,3042,4th Ave W SB Station,Weekday,1.468,8.810,2.111,12.667,4.071
702,O,XNT,3043,3rd Ave SE SB Station,Weekday,0.048,0.286,0.675,4.048,3.444
702,O,XNT,3044,Dumas Rd SB Station,Weekday,0.116,0.810,0.245,1.714,2.884
702,O,XNT,3045,16th Ave SE SB Station,Weekday,0.605,4.238,0.912,6.381,2.857
702,O,XNT,3046,Trillium Blvd SB Station,Weekday,0.122,0.857,0.184,1.286,2.844
702,O,XNT,3047,153rd St SE SB Station,Weekday,0.075,0.524,0.122,0.857,2.646
702,O,XNT,3048,164th St SE SB Station,Weekday,0.571,4.000,0.463,3.238,2.646
702,O,XNT,3049,180th St SE SB Station,Weekday,0.109,0.762,0.435,3.048,2.245
702,O,XNT,3050,196th St SE SB Station,Weekday,0.230,1.381,0.349,2.095,2.460
702,O,XNT,3051,208th St SE SB Station,Weekday,0.119,0.714,1.254,7.524,1.325
702,O,XNT,3035,Canyon Park Park & Ride Bay 6,Weekday,0.000,0.000,1.325,7.952,0.000
702,O,AM,3049,180th St SE SB Station,Weekday,0.360,9.714,0.776,20.952,3.566
702,O,AM,3050,196th St SE SB Station,Weekday,0.400,10.810,0.145,3.905,3.799
702,O,AM,3051,208th St SE SB Station,Weekday,0.317,8.238,0.564,14.667,3.679
702,O,AM,3035,Canyon Park Park & Ride Bay 6,Weekday,0.000,0.000,3.614,93.952,-0.004
702,O,AM,3040,Hwy 99 SB Station,Weekday,2.374,66.476,0.327,9.143,3.776
702,O,AM,3041,Gibson Rd SB Station,Weekday,0.374,10.476,0.197,5.524,3.961
