SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
213,149,2672,1,AM,8,L,I,Queen Anne Ave N,W Mercer St,FS,E,SEA,16,1435,3.3,52.1,0,0,3.4
213,149,2180,2,AM,8,L,I,Queen Anne Ave N,W Harrison St,FS,E,SEA,16,1435,0.7,11.3,0,0.2,4.1
213,149,2200,3,AM,8,L,I,Queen Anne Ave N,W John St,FM,E,SEA,16,1436,0.9,15,0,0.7,4.9
213,149,2244,4,AM,8,L,I,Denny Way,2nd Ave N,FS,E,SEA,16,1433,1.1,17.7,0.1,0.8,6
213,149,2245,5,AM,8,L,I,Denny Way,Cedar St,NS,E,SEA,16,1436,1.2,19.4,0.1,1.3,7.1
213,149,2247,6,AM,8,L,I,Denny Way,6th Ave,NS,E,SEA,15,1338,1.1,17,0.1,1.1,8
213,149,2250,7,AM,8,L,I,Denny Way,Dexter Ave,NS,E,SEA,15,1338,1.4,20.8,0.5,7.2,8.9
213,149,2255,8,AM,8,L,I,Denny Way,Westlake Ave,FS,E,SEA,15,1338,2.1,31.9,1,15.7,10
213,149,2260,9,AM,8,L,I,Denny Way,Fairview Ave,NS,E,SEA,15,1338,0.8,11.5,1,15.6,9.7
213,149,2262,10,AM,8,L,I,Denny Way,Stewart St,NS,E,SEA,15,1338,1.9,29,1.3,19.5,10.3
213,149,29268,11,AM,8,L,I,E Olive Way,Summit Ave E,FS,E,SEA,15,1338,1.5,22.9,1,15.1,10.9
213,149,29270,12,AM,8,L,I,E John St,Broadway E,FS,E,SEA,14,1277,2.8,38.5,2.7,38.2,10.8
213,149,29277,13,AM,8,L,I,E John St,12th Ave E,FS,E,SEA,14,1278,0.7,9.6,0.3,4.6,11.2
213,149,29273,14,AM,8,L,I,E John St,15th Ave E,NS,E,SEA,14,1278,0.5,6.6,3.3,46.7,8.3
213,149,29274,15,AM,8,L,I,E Thomas St,16th Ave E,FS,E,SEA,14,1270,0.5,7.1,0.2,2.1,8.7
