SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
243,157,74785,1,AM,348,L,I,Richmond Beach Dr NW,NW 195th Pl,NS,S,SHL,8,1010,0.2,1.6,0,0,0.3
243,157,35317,1,AM,348,L,O,1st Ave NE,NE 103rd St,NS,N,SEA,13,1632,3.3,43.5,0,0,3.7
243,157,23750,2,AM,348,L,O,5th Ave NE,NE 103rd St,FS,N,SEA,13,1633,0.1,1.7,0,0.3,3.8
243,157,70700,2,AM,348,L,I,NW 196th St,24th Ave NW,FS,S,SHL,8,1011,0.2,1.9,0,0,0.5
243,157,74850,3,AM,348,L,I,NW 195th St,20th Ave NW,FS,S,SHL,8,1011,0.6,4.9,0,0.1,1.1
243,157,23770,3,AM,348,L,O,5th Ave NE,NE 106th St,NS,N,SEA,13,1633,0,0.5,0.1,1.1,3.8
243,157,74870,4,AM,348,L,I,NW Richmond Beach Rd,15th Ave NW,FS,S,SHL,8,1012,1.4,11.1,0,0,2.5
243,157,81364,4,AM,348,L,O,NE Northgate Way,5th Ave NE,FS,N,SEA,13,1635,0.8,10.1,0.5,5.9,4
243,157,81368,5,AM,348,L,O,Roosevelt Way NE,NE 111th St,FS,N,SEA,13,1635,0.4,5.2,0.4,5.1,4.1
243,157,74880,5,AM,348,L,I,NW Richmond Beach Rd,NW 191st St,FS,S,SHL,8,1013,0.1,1.1,0,0.1,2.6
243,157,81361,6,AM,348,L,O,Pinehurst Way NE,NE 115th St,FS,N,SEA,12,1507,0.1,1,0.3,3.9,3.7
243,157,75000,6,AM,348,L,I,NW Richmond Beach Rd,8th Ave NW,FM,S,SHL,7,887,0.8,5.6,0.3,2.1,3.2
243,157,39230,7,AM,348,L,O,15th Ave NE,NE 120th St,FS,N,SEA,12,1507,0.2,2.9,0.4,4.7,3.6
243,157,75005,7,AM,348,L,I,NW Richmond Beach Rd,3rd Ave NW,NS,S,SHL,7,887,1.1,7.9,0.2,1.2,4.1
243,157,39240,8,AM,348,L,O,15th Ave NE,NE 123rd St,FS,N,SEA,12,1507,0.4,4.3,0.5,5.4,3.5
243,157,74885,8,AM,348,L,I,8th Ave NW,NW Richmond Beach Rd,FS,S,SHL,7,869,0.7,4.8,0,0,0.7
243,157,39250,9,AM,348,L,O,15th Ave NE,NE 125th St,FS,N,SEA,12,1507,0.4,5.2,0.2,2.2,3.8
243,157,74886,9,AM,348,L,I,8th Ave NW,NW 195th St,NS,S,SHL,7,869,0.1,0.6,0,0.1,0.8
243,157,39260,10,AM,348,L,O,15th Ave NE,NE 127th St,FS,N,SEA,12,1507,0,0.3,0.1,0.9,3.7
243,157,74980,10,AM,348,L,I,3rd Ave NW,NW 195th St,FS,S,SHL,7,870,0.2,1.3,0,0,1
243,157,74990,11,AM,348,L,I,3rd Ave NW,NW 191st St,FS,S,SHL,7,871,0.2,1.3,0,0,1.2
243,157,39270,11,AM,348,L,O,15th Ave NE,NE 130th St,OP,N,SEA,12,1507,0,0,0,0.1,3.7
243,157,39290,12,AM,348,L,O,15th Ave NE,NE 135th St,FS,N,SEA,12,1507,0.2,2.7,0.3,3.2,3.7
243,157,75007,12,AM,348,L,I,NW Richmond Beach Rd,1st Ave NW,FS,S,SHL,14,1759,0.4,5.9,0,0.1,3
243,157,39310,13,AM,348,L,O,15th Ave NE,NE 140th St,NS,N,SEA,12,1507,0,0.3,0,0.4,3.7
243,157,81399,13,AM,348,L,I,N 185th St,Fremont Ave N,FS,S,SHL,14,1759,0.4,5.5,0.3,4.1,3.1
243,157,39320,14,AM,348,L,O,15th Ave NE,NE 143rd St,NS,N,SEA,12,1507,0.2,1.9,0.3,3.7,3.5
243,157,75732,14,AM,348,L,I,N 185th St,Aurora Ave N,FS,S,SHL,14,1759,1.2,16.4,0.4,5.4,3.9
243,157,75734,15,AM,348,L,I,N 185th St,Ashworth Ave N,FS,S,SHL,14,1759,0.3,4.5,0,0.1,4.3
243,157,39340,15,AM,348,L,O,15th Ave NE,NE 145th St,FS,N,SHL,12,1507,0.4,4.7,0.6,7,3.3
243,157,81230,16,AM,348,L,I,N 185th St,Meridian Ave N,FS,S,SHL,14,1759,0.2,3.1,0,0.1,4.5
243,157,77720,16,AM,348,L,O,15th Ave NE,NE 150th St,FS,N,SHL,12,1507,0.2,2.2,0.5,5.4,3.1
243,157,81232,17,AM,348,L,I,N 185th St,Corliss Ave N,FS,S,SHL,14,1759,0,0.5,0,0,4.5
243,157,39332,17,AM,348,L,O,15th Ave NE,NE 155th St,FS,N,SHL,12,1505,0,0.4,0.3,3.7,2.8
243,157,81234,18,AM,348,L,I,NE 185th St,1st Ave NE,FS,S,SHL,14,1759,0.1,0.9,0,0.6,4.5
243,157,39334,18,AM,348,L,O,15th Ave NE,NE 160th St,FS,N,SHL,12,1507,0,0.1,0,0.4,2.8
243,157,81236,19,AM,348,L,I,NE 185th St,3rd Ave NE,FS,S,SHL,14,1759,0.1,1.5,0,0,4.6
243,157,77860,19,AM,348,L,O,15th Ave NE,NE 165th St,FS,N,SHL,12,1507,0.1,0.8,0,0.3,2.8
243,157,81243,20,AM,348,L,I,Shoreline North Transit Center AcRd,Shoreline North Transit Center AcRd,FS,S,SHL,14,1758,0.5,7.6,2.9,40.8,2.3
243,157,77880,20,AM,348,L,O,15th Ave NE,NE 170th St,FS,N,SHL,12,1507,0.3,3.1,0.1,1.1,3
243,157,77882,21,AM,348,L,O,15th Ave NE,NE 172nd St,FS,N,SHL,12,1507,0.2,2.9,0.2,2.6,3
243,157,81315,21,AM,348,L,I,10th Ave NE,NE 180th St,NS,S,SHL,14,1759,0.1,2,0,0.4,2.4
243,157,77460,22,AM,348,L,I,15th Ave NE,NE 180th St,FS,S,SHL,14,1752,0.7,9.6,0.1,1.2,3
243,157,77890,22,AM,348,L,O,15th Ave NE,NE 175th St,FS,N,SHL,12,1507,1.2,13.8,0.5,5.8,3.7
243,157,77480,23,AM,348,L,I,15th Ave NE,NE 175th St,FS,S,SHL,13,1630,1,13.1,0.2,2.2,3.8
243,157,81311,23,AM,348,L,O,10th Ave NE,NE 180th St,FS,N,SHL,12,1507,0.2,2.8,0,0.3,3.9
243,157,81243,24,AM,348,L,O,Shoreline North Transit Center AcRd,Shoreline North Transit Center AcRd,FS,N,SHL,11,1379,0.7,7.3,2.1,23,2.4
243,157,77490,24,AM,348,L,I,15th Ave NE,NE 172nd St,NS,S,SHL,13,1630,0.3,3.6,0.1,1.3,4
243,157,77500,25,AM,348,L,I,15th Ave NE,NE 170th St,FS,S,SHL,13,1630,0.2,2.5,0,0.2,4.1
243,157,81322,25,AM,348,L,O,NE 185th St,3rd Ave NE,FS,N,SHL,11,1293,0.2,2.2,0,0.1,2.7
243,157,77510,26,AM,348,L,I,15th Ave NE,NE 168th St,FS,S,SHL,13,1631,0,0.3,0,0,4.2
243,157,81321,26,AM,348,L,O,NE 185th St,1st Ave NE,NS,N,SHL,11,1379,0.1,0.7,0,0.2,2.6
243,157,77520,27,AM,348,L,I,15th Ave NE,NE 165th St,FS,S,SHL,13,1631,0.2,2.7,0.1,1.1,4.3
243,157,81326,27,AM,348,L,O,N 185th St,Corliss Ave N,NS,N,SHL,11,1379,0,0.4,0,0,2.7
243,157,39336,28,AM,348,L,I,15th Ave NE,NE 160th St,FS,S,SHL,13,1631,0.1,1.1,0.2,2.1,4.2
243,157,75902,28,AM,348,L,O,N 185th St,Meridian Ave N,FS,N,SHL,11,1379,0.2,1.7,0.1,1,2.8
243,157,75906,29,AM,348,L,O,N 185th St,Ashworth Ave N,FS,N,SHL,11,1379,0,0.1,0.1,0.9,2.7
