DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2025,April,East,Redmond Technology,2 Line,1637,5161,263,
2025,April,East,Overlake Village,2 Line,238,1902,262,
2025,April,East,BelRed,2 Line,423,1826,261,
2025,April,East,Spring District,2 Line,1544,1546,260,
2025,April,East,Wilburton,2 Line,675,640,259,
2025,April,East,Bellevue Downtown,2 Line,4490,1222,258,
2025,April,East,East Main,2 Line,860,305,257,
2025,April,East,South Bellevue,2 Line,5191,137,256,
2025,April,West,Redmond Technology,2 Line,3413,327,263,
2025,April,West,Overlake Village,2 Line,1928,374,262,
2025,April,West,BelRed,2 Line,1856,567,261,
2025,April,West,Spring District,2 Line,1534,1605,260,
2025,April,West,Wilburton,2 Line,779,644,259,
2025,April,West,Bellevue Downtown,2 Line,1101,4513,258,
2025,April,West,East Main,2 Line,268,690,257,
