DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2025,March,North,Lynnwood City Center,1 Line,4491,88771,140,
2025,March,North,Mountlake Terrace,1 Line,2863,26521,141,
2025,March,North,Shoreline North/185th,1 Line,1715,17837,142,
2025,March,North,Shoreline South/148th,1 Line,3236,19517,143,
2025,March,North,Northgate,1 Line,9930,60169,145,
2025,March,North,Roosevelt,1 Line,10151,49248,146,
2025,March,North,U District,1 Line,34601,75632,147,
2025,March,North,University of Washington,1 Line,28097,45451,148,
2025,March,North,Capitol Hill,1 Line,67868,65571,149,
2025,March,North,Westlake/Seattle,1 Line,95255,57942,150,
2025,March,North,Symphony,1 Line,36267,26027,151,
2025,March,North,Pioneer Square,1 Line,24178,14961,152,
2025,March,North,International District/Chinatown,1 Line,44731,18953,153,
2025,March,North,Stadium,1 Line,10898,7161,154,
2025,March,North,SODO,1 Line,14038,6992,155,
2025,March,North,Beacon Hill,1 Line,22578,11891,156,
2025,March,North,Mount Baker,1 Line,18044,10192,157,
2025,March,North,Columbia City,1 Line,17984,5746,158,
2025,March,North,Othello,1 Line,19516,6810,160,
2025,March,North,Rainier Beach,1 Line,12998,5123,161,
2025,March,North,Tukwila International Blvd,1 Line,29839,10820,163,
2025,March,North,SeaTac/Airport,1 Line,84344,9115,164,
2025,March,North,Angle Lake,1 Line,46730,397,165,
2025,March,South,Lynnwood City Center,1 Line,32064,548,140,
2025,March,South,Mountlake Terrace,1 Line,8731,864,141,
2025,March,South,Shoreline North/185th,1 Line,7168,736,142,
2025,March,South,Shoreline South/148th,1 Line,7440,1077,143,
2025,March,South,Northgate,1 Line,21023,2985,145,
2025,March,South,Roosevelt,1 Line,21013,4618,146,
2025,March,South,U District,1 Line,29764,13371,147,
2025,March,South,University of Washington,1 Line,18664,12570,148,
2025,March,South,Capitol Hill,1 Line,21867,28494,149,
2025,March,South,Westlake/Seattle,1 Line,21950,34243,150,
2025,March,South,Symphony,1 Line,9709,15600,151,
2025,March,South,Pioneer Square,1 Line,6437,10605,152,
2025,March,South,International District/Chinatown,1 Line,8514,16470,153,
2025,March,South,Stadium,1 Line,2709,6361,154,
2025,March,South,SODO,1 Line,3406,6166,155,
2025,March,South,Beacon Hill,1 Line,3958,8965,156,
2025,March,South,Mount Baker,1 Line,4157,6534,157,
2025,March,South,Columbia City,1 Line,2676,7861,158,
2025,March,South,Othello,1 Line,3285,8320,160,
2025,March,South,Rainier Beach,1 Line,2285,7239,161,
2025,March,South,Tukwila International Blvd,1 Line,4311,13480,163,
2025,March,South,SeaTac/Airport,1 Line,5151,31293,164,
