DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2023,February,North,Roosevelt,1 Line,4692,41309,146,
2023,February,North,U District,1 Line,22617,62021,147,
2023,February,North,University of Washington,1 Line,20782,37082,148,
2023,February,North,Capitol Hill,1 Line,44934,54228,149,
2023,February,North,Westlake/Seattle,1 Line,61217,42926,150,
2023,February,North,University St,1 Line,27171,21180,151,
2023,February,North,Pioneer Square,1 Line,15332,10905,152,
2023,February,North,International District/Chinatown,1 Line,36720,15801,153,
2023,February,North,Stadium,1 Line,6369,9508,154,
2023,February,North,SODO,1 Line,12134,6767,155,
2023,February,North,Beacon Hill,1 Line,17757,8262,156,
2023,February,North,Mount Baker,1 Line,13315,7268,157,
2023,February,North,Columbia City,1 Line,15446,4617,158,
2023,February,North,Othello,1 Line,18985,6378,160,
2023,February,North,Rainier Beach,1 Line,14110,5028,161,
2023,February,North,Tukwila International Blvd,1 Line,21911,6315,163,
2023,February,North,SeaTac/Airport,1 Line,47706,8031,164,
2023,February,North,Angle Lake,1 Line,36787,733,165,
2023,February,South,Northgate,1 Line,106618,288,145,
2023,February,South,Roosevelt,1 Line,46039,4656,146,
2023,February,South,U District,1 Line,67470,24917,147,
2023,February,South,University of Washington,1 Line,41682,20533,148,
2023,February,South,Capitol Hill,1 Line,47965,53257,149,
2023,February,South,Westlake/Seattle,1 Line,45828,62970,150,
2023,February,South,University St,1 Line,21412,28872,151,
2023,February,South,Pioneer Square,1 Line,10935,17770,152,
2023,February,South,International District/Chinatown,1 Line,19398,38800,153,
2023,February,South,Stadium,1 Line,5357,9786,154,
2023,February,South,SODO,1 Line,7369,10689,155,
2023,February,South,Beacon Hill,1 Line,8093,20183,156,
2023,February,South,Mount Baker,1 Line,8418,13234,157,
2023,February,South,Columbia City,1 Line,4611,15862,158,
2023,February,South,Othello,1 Line,6464,19875,160,
2023,February,South,Rainier Beach,1 Line,3669,12539,161,
2023,February,South,Tukwila International Blvd,1 Line,6421,23802,163,
2023,February,South,SeaTac/Airport,1 Line,8249,48005,164,
2023,February,South,Angle Lake,1 Line,3953,44590,165,
