SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,500,24,AM,70,L,I,3rd Ave,James St,NS,S,SEA,16,1429,0,0.4,0.6,9,1.7
241,156,500,24,MID,70,L,I,3rd Ave,James St,NS,S,SEA,27,2397,0,1.3,0.6,17,2.2
241,156,500,24,PM,70,L,I,3rd Ave,James St,NS,S,SEA,20,1656,0.1,1,0.5,10,4.7
241,156,500,24,XEV,70,L,I,3rd Ave,James St,NS,S,SEA,16,1100,0,0.2,0.3,4.8,1.1
241,156,9170,8,AM,70,L,I,Eastlake Ave E,E Hamlin St,NS,S,SEA,17,1526,1.7,28.6,0.1,2.4,17.9
241,156,9170,8,MID,70,L,I,Eastlake Ave E,E Hamlin St,NS,S,SEA,28,2414,1.1,30.8,0.4,11.9,17.1
241,156,500,24,XNT,70,L,I,3rd Ave,James St,NS,S,SEA,17,953,0,0.5,0.3,5.1,1.5
241,156,9170,8,PM,70,L,I,Eastlake Ave E,E Hamlin St,NS,S,SEA,20,1651,0.6,12.1,0.9,17.5,11.4
241,156,9170,8,XEV,70,L,I,Eastlake Ave E,E Hamlin St,NS,S,SEA,15,1071,0.2,3.5,0.4,6.3,6.4
241,156,9170,8,XNT,70,L,I,Eastlake Ave E,E Hamlin St,NS,S,SEA,16,859,0.1,1.7,0.1,1.6,3.8
241,156,9220,11,AM,70,L,I,Eastlake Ave E,E Newton St,FS,S,SEA,17,1535,1.7,28.1,0.4,6.5,21.9
241,156,9220,11,MID,70,L,I,Eastlake Ave E,E Newton St,FS,S,SEA,27,2400,1.3,34.2,0.4,10.7,19.6
241,156,9220,11,PM,70,L,I,Eastlake Ave E,E Newton St,FS,S,SEA,21,1700,0.7,15.6,0.6,12.8,11.6
241,156,9220,11,XEV,70,L,I,Eastlake Ave E,E Newton St,FS,S,SEA,15,1073,0.4,6.4,0.4,5.3,6.1
241,156,9220,11,XNT,70,L,I,Eastlake Ave E,E Newton St,FS,S,SEA,16,859,0.1,2.2,0.1,1.7,3.7
241,156,1471,26,MID,70,L,I,S Jackson St,5th Ave S,NS,S,SEA,3,146,1,3,1.4,4.1,0
241,156,1471,26,PM,70,L,I,S Jackson St,5th Ave S,NS,S,SEA,2,121,0.2,0.3,0.5,0.9,0
241,156,1471,26,XEV,70,L,I,S Jackson St,5th Ave S,NS,S,SEA,3,292,0.1,0.2,0.3,0.9,0
241,156,1471,26,XNT,70,L,I,S Jackson St,5th Ave S,NS,S,SEA,6,371,0.3,1.8,1,5.9,0
