DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2024,June,North,Northgate,1 Line,7054,93452,145,
2024,June,North,Roosevelt,1 Line,4210,42580,146,
2024,June,North,U District,1 Line,16638,60767,147,
2024,June,North,University of Washington,1 Line,15903,35817,148,
2024,June,North,Capitol Hill,1 Line,40681,54309,149,
2024,June,North,Westlake/Seattle,1 Line,67297,58045,150,
2024,June,North,University St,1 Line,28515,25155,151,
2024,June,North,Pioneer Square,1 Line,16888,13845,152,
2024,June,North,International District/Chinatown,1 Line,36811,17317,153,
2024,June,North,Stadium,1 Line,10820,11122,154,
2024,June,North,SODO,1 Line,11549,15789,155,
2024,June,North,Beacon Hill,1 Line,17661,8672,156,
2024,June,North,Mount Baker,1 Line,15004,8713,157,
2024,June,North,Columbia City,1 Line,17515,5516,158,
2024,June,North,Othello,1 Line,19273,6799,160,
2024,June,North,Rainier Beach,1 Line,13312,4495,161,
2024,June,North,Tukwila International Blvd,1 Line,26175,7850,163,
2024,June,North,SeaTac/Airport,1 Line,86905,3739,164,
2024,June,North,Angle Lake,1 Line,21491,295,165,
2024,June,South,Northgate,1 Line,81398,245,145,
2024,June,South,Roosevelt,1 Line,34795,3067,146,
2024,June,South,U District,1 Line,51693,12742,147,
2024,June,South,University of Washington,1 Line,27157,13211,148,
2024,June,South,Capitol Hill,1 Line,34904,37710,149,
2024,June,South,Westlake/Seattle,1 Line,41042,54283,150,
2024,June,South,University St,1 Line,16510,22581,151,
2024,June,South,Pioneer Square,1 Line,8371,12824,152,
2024,June,South,International District/Chinatown,1 Line,13918,28289,153,
2024,June,South,Stadium,1 Line,6489,22962,154,
2024,June,South,SODO,1 Line,8947,7221,155,
2024,June,South,Beacon Hill,1 Line,5858,13630,156,
2024,June,South,Mount Baker,1 Line,6202,9780,157,
2024,June,South,Columbia City,1 Line,3747,11617,158,
2024,June,South,Othello,1 Line,4734,12578,160,
2024,June,South,Rainier Beach,1 Line,2965,9166,161,
2024,June,South,Tukwila International Blvd,1 Line,5173,22356,163,
2024,June,South,SeaTac/Airport,1 Line,4378,49371,164,
