DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2025,February,East,Redmond Technology,2 Line,473,6276,263,
2025,February,East,Overlake Village,2 Line,225,1600,262,
2025,February,East,BelRed,2 Line,388,1219,261,
2025,February,East,Spring District,2 Line,568,1093,260,
2025,February,East,Wilburton,2 Line,636,667,259,
2025,February,East,Bellevue Downtown,2 Line,3830,869,258,
2025,February,East,East Main,2 Line,711,315,257,
2025,February,East,South Bellevue,2 Line,5047,27,256,
2025,February,West,Redmond Technology,2 Line,6762,250,263,
2025,February,West,Overlake Village,2 Line,1655,377,262,
2025,February,West,BelRed,2 Line,1323,545,261,
2025,February,West,Spring District,2 Line,1208,741,260,
2025,February,West,Wilburton,2 Line,763,659,259,
2025,February,West,Bellevue Downtown,2 Line,924,4271,258,
2025,February,West,East Main,2 Line,297,540,257,
2025,February,West,South Bellevue,2 Line,185,5459,256,
